id,filter_key,filter_name,filter_name_en,description,category,filter_type,owner_user_id,settings_schema,default_settings,ui_group,display_order,icon_name,is_active,is_public,ai_metadata,created_at,updated_at
321e5475-3fba-4875-98fe-dfa6a9bdb088,end_digit_8_count,8끝수 개수,End Digit 8,1의 자리가 8인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,408,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
336effea-087f-4f4f-a7f0-fe4268f538bf,hot_cold_10,10회차 핫/콜드,Hot/Cold 10,최근 10회 기준,system,range_category,,"{""categories"":[""Hot(4회이상)"",""Warm(1-3회)"",""Cold(0회)""]}","{""enabled"":false,""hotRange"":[0,6],""coldRange"":[0,6],""warmRange"":[0,6]}",hot_cold,310,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
41de6113-08ed-4e7e-b03c-1ffed376bb39,multiple_3_4_count,3·4 공배수,Multiple of 3&4,"12,24,36",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[12,24,36],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",multiple,530,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
576e93f6-d88e-4eb3-8287-ab45d4959aa3,excluded_numbers,제외수 (절대 제외),Excluded Numbers,이 번호는 절대 안 나옴,system,number_selector,,"{""max_select"":39,""min_select"":0}","{""enabled"":false,""numbers"":[]}",advanced,610,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
5bcd3b5f-37dc-4165-8d2a-29edc785e8d2,consecutive_type,연번 형태,Consecutive Type,연번의 구체적 형태 선택,system,multi_select,,"{""options"":[""2연번"",""3연번"",""4연번"",""3연번2개""]}","{""enabled"":false,""selectedTypes"":[]}",number_type,241,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
61fdb17a-ea89-4fec-b180-a4023991cbae,prime_number_patterns,소수 패턴,,,system,discrete_select,,{},"{""excludedPrimes"":[],""selectedCounts"":[0,1,2,3,4,5,6]}",features,70,filter_alt,true,false,,2026-02-23 12:06:10.56191+00,2026-02-23 12:06:10.56191+00
629049f4-90b6-4645-b869-ecee2ff77ca3,square_number_patterns,제곱수 패턴,,,system,discrete_select,,{},"{""selectedCounts"":[0,1,2,3,4,5,6],""excludedNumbers"":[]}",features,80,filter_alt,true,false,,2026-02-23 12:06:10.56191+00,2026-02-23 12:06:10.56191+00
6412d013-effa-4743-b3da-ee320b8c40f4,odd_even_pattern,홀짝 패턴,Odd/Even Pattern,홀수:짝수 비율,system,pattern_select,,"{""options"":[""6:0"",""5:1"",""4:2"",""3:3"",""2:4"",""1:5"",""0:6""]}","{""enabled"":false,""selectedPatterns"":[]}",pattern,100,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
66f9626d-e1fb-48cf-86fa-dbf29c4c78c7,square_count,제곱수 개수,Square Count,"제곱수(1,4,9,16,25,36) 포함 개수",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[1,4,9,16,25,36],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",number_type,220,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
6a3388e7-d430-4024-a396-10b08a11ee8e,end_digit_5_count,5끝수 개수,End Digit 5,1의 자리가 5인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,405,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
6c74c280-3731-4de6-bd43-e0ec4467a0d5,hot_cold_5,5회차 핫/콜드,Hot/Cold 5,최근 5회 기준,system,range_category,,"{""categories"":[""Hot(3회이상)"",""Warm(1-2회)"",""Cold(0회)""]}","{""enabled"":false,""hotRange"":[0,6],""coldRange"":[0,6],""warmRange"":[0,6]}",hot_cold,300,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
6fcd5b81-c7cc-4abe-b964-3fc59434c048,neighbor_number_patterns,이웃수 패턴,,,system,discrete_select,,{},"{""selectedCounts"":[0,1,2,3,4,5,6],""excludedNumbers"":[]}",features,110,filter_alt,true,false,,2026-02-23 12:06:10.56191+00,2026-02-23 12:06:10.56191+00
7010c341-a67e-4cd5-9a5a-35856b88f7ab,hot_cold_20,20회차 핫/콜드,Hot/Cold 20,최근 20회 기준,system,range_category,,"{""categories"":[""Hot"",""Warm"",""Cold""]}","{""enabled"":false,""hotRange"":[0,6],""coldRange"":[0,6],""warmRange"":[0,6]}",hot_cold,330,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
75e5ae2a-1932-4c0f-af46-2ae500073db9,multiple_3_5_count,3·5 공배수,Multiple of 3&5,"15,30,45",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[15,30,45],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",multiple,540,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
793cf56a-4f2f-4feb-903c-c18cb7b8edbf,high_low_pattern,고저 패턴,High/Low Pattern,고(23~45):저(1~22) 비율,system,pattern_select,,"{""options"":[""6:0"",""5:1"",""4:2"",""3:3"",""2:4"",""1:5"",""0:6""]}","{""enabled"":false,""selectedPatterns"":[]}",pattern,110,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
7e951ea0-4954-45f7-908c-f9cdb72de85f,end_digit_1_count,1끝수 개수,End Digit 1,1의 자리가 1인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,401,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
7fd32bd7-37c1-4fce-bcc0-d454f7d2ebdb,fixed_numbers,고정수 (반드시 포함),Fixed Numbers,내가 찍은 번호 무조건 포함,system,number_selector,,"{""max_select"":5,""min_select"":0}","{""enabled"":false,""numbers"":[]}",advanced,600,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
890a19e3-3167-4f9f-8d5d-76927186728e,end_digit_7_count,7끝수 개수,End Digit 7,1의 자리가 7인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,407,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
8c5cfcc1-f3dc-4abf-b1e7-f872373bdf97,multiple_3_count,3의 배수,Multiple of 3,"3,6,9...45",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[3,6,9,12,15,18,21,24,27,30,33,36,39,42,45],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",multiple,500,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
8ec95b42-a89e-4a80-8d85-fb23067b0a31,no_multiple_count,배수 아님,No Multiple,"3,4,5의 배수가 아닌 수",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",multiple,560,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
948cc877-0a73-4e17-98ee-b0e5ffb4d5f1,multiple_4_count,4의 배수,Multiple of 4,"4,8,12...44",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[4,8,12,16,20,24,28,32,36,40,44],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",multiple,510,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
a3417f0d-2007-43d8-8091-cacd039c812c,carryover_count,이월수(당번),Carryover Count,직전 회차 당첨번호와 일치 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",basic,40,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
a90e211f-fc32-4540-a77c-bf1572e3ce14,neighbor_count,이웃수 개수,Neighbor Count,직전 회차 당첨번호의 ±1 인접번호 포함 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""description"":""이웃수(±1) 포함 개수"",""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",basic,45,filter_alt,true,false,,2026-01-25 14:11:58.758175+00,2026-01-25 14:11:58.758175+00
bf5141df-61d8-4bf7-a43d-58c5e9f2203f,zone_3_pattern,3분할 패턴,Zone 3 Pattern,1~15 / 16~30 / 31~45 분포,system,pattern_select,,"{""options"":[""3:2:1"",""2:2:2"",""4:1:1"",""2:3:1"",""1:3:2"",""기타""]}","{""enabled"":false,""selectedPatterns"":[]}",pattern,120,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
c9a8581d-8bf6-4ced-bf7c-8e4c898390c2,tail_digit_patterns,끝수 출현 패턴,,0~9 각 끝수의 출현 개수 범위를 통합 관리합니다.,system,special,,{},"{""filters"":{""0"":{""max"":6,""min"":0},""1"":{""max"":6,""min"":0},""2"":{""max"":6,""min"":0},""3"":{""max"":6,""min"":0},""4"":{""max"":6,""min"":0},""5"":{""max"":6,""min"":0},""6"":{""max"":6,""min"":0},""7"":{""max"":6,""min"":0},""8"":{""max"":6,""min"":0},""9"":{""max"":6,""min"":0}},""recent10FilterActive"":false}",basic,35,filter_alt,true,false,,2026-02-24 13:50:31.525702+00,2026-02-24 13:50:31.525702+00
d160125a-904c-44a4-8acf-fa4e89c00003,carryover_with_bonus,이월수(보너스포함),Carryover with Bonus,직전 회차 보너스볼 포함 일치 여부,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",basic,41,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
d349f9dc-c15a-42c6-bbd2-ae228eb3411c,end_digit_4_count,4끝수 개수,End Digit 4,1의 자리가 4인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,404,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
d44882b9-8509-45d7-85f6-e49711ea2a95,end_digit_2_count,2끝수 개수,End Digit 2,1의 자리가 2인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,402,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
db0da377-6a04-433a-b450-e0a4ce868305,magic_square_pattern,마방진(궁) 패턴,Magic Square Pattern,마방진 9궁 위치별 번호 개수 분석,system,multi_range,,"{""max"":6,""min"":0,""groups"":[""1궁"",""2궁"",""3궁"",""4궁"",""5궁"",""6궁"",""7궁"",""8궁"",""9궁""],""description"":""마방진 궁별 번호 개수""}","{""enabled"":false,""filters"":{}}",pattern,140,filter_alt,true,false,,2026-01-26 11:40:56.170536+00,2026-01-26 11:40:56.170536+00
de63cd3d-fda0-4461-a4e3-6e4ef47ffea5,end_digit_9_count,9끝수 개수,End Digit 9,1의 자리가 9인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,409,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
eae1ca0e-538b-4ef9-a02d-817764dfcac8,triangular_number_patterns,삼각수 패턴,,,system,discrete_select,,{},"{""selectedCounts"":[0,1,2,3,4,5,6],""excludedNumbers"":[]}",features,90,filter_alt,true,false,,2026-02-23 12:06:10.56191+00,2026-02-23 12:06:10.56191+00
ed999f51-0595-4cf2-b2db-06051a98a18e,ac_value,AC값,AC Value,당첨번호 6개의 산술적 복잡도 (0~10),system,discrete_select,,"{""options"":[0,1,2,3,4,5,6,7,8,9,10],""multi_select"":true}","{""max"":10,""min"":0,""enabled"":false,""selectedValues"":[],""useDiscreteSelection"":false}",basic,10,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
eeb56718-3ee1-486c-bf1e-c135e7605bad,twin_count,동형수 개수,Twin Number Count,"동형수(11,22,33,44) 포함 개수",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[11,22,33,44],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",number_type,230,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
eed51d76-4ae4-4440-b917-670af3292e99,total_sum,총합,Total Sum,당첨 번호 6개의 합 (21~255),system,range,,"{""max"":255,""min"":21,""unit"":""점""}","{""max"":255,""min"":21,""enabled"":false,""selectedValues"":[],""useDiscreteSelection"":false}",basic,20,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
f39b40a0-eff6-4a04-a03b-37d6c350f748,last_digit_sum,끝수합,Last Digit Sum,번호의 1의 자리 합계 (0~54),system,range,,"{""max"":54,""min"":0,""unit"":""점""}","{""max"":54,""min"":0,""enabled"":false,""selectedValues"":[],""useDiscreteSelection"":false}",basic,30,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
f462a883-4ae6-4b0b-bce4-63af89b8091d,lotto_paper_pattern,로또 용지 패턴,Lotto Paper Pattern,로또 용지 그룹(A~E)별 번호 개수 분석,system,multi_range,,"{""max"":6,""min"":0,""groups"":[""A"",""B"",""C"",""D"",""E""],""description"":""용지 그룹별 번호 개수""}","{""groups"":{},""enabled"":false}",pattern,130,filter_alt,true,false,,2026-01-26 11:40:56.170536+00,2026-01-26 11:40:56.170536+00
f4be8b47-30cf-4eb9-aaa9-7b13f49f07b4,triangular_count,삼각수 개수,Triangular Number Count,"삼각수(1,3,6,10,15,21,28,36,45) 포함 개수",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[1,3,6,10,15,21,28,36,45],""description"":""삼각수 개수 선택"",""multi_select"":true}","{""enabled"":false,""selectedCounts"":[],""excludedNumbers"":[]}",number_type,235,filter_alt,true,false,,2026-01-26 11:40:56.170536+00,2026-01-26 11:40:56.170536+00
f76c400b-9e95-4bec-9439-b8836c035379,hot_cold_15,15회차 핫/콜드,Hot/Cold 15,최근 15회 기준,system,range_category,,"{""categories"":[""Hot"",""Warm"",""Cold""]}","{""enabled"":false,""hotRange"":[0,6],""coldRange"":[0,6],""warmRange"":[0,6]}",hot_cold,320,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
fd5fa613-4a26-446a-a0d2-d6c8ae9b35e8,end_digit_0_count,0끝수 개수,End Digit 0,1의 자리가 0인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,400,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
