Trekking,1e balpositie,2e balpositie,3e balpositie,4e balpositie,5e balpositie,6e balpositie,Bonusbal
2003-11-08,2,7,10,13,30,35,44
2003-11-15,11,16,26,29,35,44,5
2003-11-22,13,14,20,30,33,43,36
2003-11-29,16,20,27,29,31,32,14
2003-12-06,7,20,21,24,36,44,9
2003-12-13,6,9,19,20,31,37,21
2003-12-20,2,10,23,24,28,40,42
2003-12-27,3,8,19,33,39,42,23
2004-01-03,1,6,12,37,43,45,8
2004-01-10,6,13,14,16,32,37,29
2004-01-17,3,7,14,21,26,30,2
2004-01-24,21,23,25,33,36,41,42
2004-01-31,5,22,23,34,37,38,23
2004-02-07,16,22,23,24,27,44,39
2004-02-14,12,16,22,25,29,34,36
2004-02-21,12,13,19,23,30,32,27
2004-02-28,1,13,17,36,43,44,14
2004-03-06,11,20,28,34,40,45,8
2004-03-13,1,4,12,19,28,43,45
2004-03-20,18,24,31,34,35,39,45
2004-03-27,2,3,5,6,12,17,41
2004-04-03,4,22,24,33,43,45,41
2004-04-10,5,16,20,26,33,39,40
2004-04-17,6,11,14,29,32,35,20
2004-04-24,2,5,6,12,19,33,23
2004-05-01,16,20,23,26,39,42,28
2004-05-08,8,12,21,24,36,42,45
2004-05-15,9,13,26,28,34,36,13
2004-05-22,19,23,26,32,39,42,3
2004-05-29,15,17,30,36,42,45,12
2004-06-05,15,25,29,33,37,39,28
2004-06-12,3,7,20,23,28,34,23
2004-06-19,5,10,13,20,22,40,39
2004-06-26,2,10,13,16,23,26,14
2004-07-03,1,2,8,12,33,37,13
2004-07-10,6,12,14,25,26,31,2
2004-07-17,7,24,25,33,42,44,40
2004-07-24,9,10,14,34,37,41,11
2004-07-31,4,6,8,15,27,41,42
2004-08-07,7,12,17,28,35,41,10
2004-08-14,2,8,15,25,31,33,18
2004-08-21,6,13,22,24,34,42,4
2004-08-28,7,16,17,30,36,45,12
2004-09-04,3,10,11,13,29,32,38
2004-09-11,9,14,16,22,25,38,40
2004-09-18,7,14,34,37,39,41,1
2004-09-25,5,7,16,27,31,34,14
2004-10-02,19,24,33,43,44,45,37
2004-10-09,3,7,25,29,36,37,1
2004-10-16,4,9,22,26,27,28,13
2004-10-23,3,15,20,28,31,32,41
2004-10-30,9,25,34,39,40,45,15
2004-11-06,4,7,12,18,33,45,39
2004-11-13,11,12,13,16,28,42,34
2004-11-20,9,23,24,37,38,41,29
2004-11-27,13,14,18,29,33,38,28
2004-12-04,7,12,26,30,36,39,26
2004-12-11,11,15,20,23,24,38,18
2004-12-18,8,11,16,22,40,42,5
2004-12-25,2,14,28,30,44,45,45
2005-01-01,3,12,18,23,36,40,32
2005-01-08,2,8,21,27,28,41,17
2005-01-15,2,5,19,27,29,39,27
2005-01-22,14,25,30,32,36,42,6
2005-01-29,2,10,30,35,40,43,11
2005-02-05,29,30,31,35,39,43,9
2005-02-12,13,14,27,28,34,38,20
2005-02-19,6,13,14,24,26,27,4
2005-02-26,4,8,21,22,24,25,34
2005-03-05,8,11,27,38,39,42,42
2005-03-12,11,16,17,19,34,39,28
2005-03-19,8,16,26,28,30,32,39
2005-03-26,5,13,14,16,22,29,39
2005-04-02,1,2,5,11,26,37,7
2005-04-09,11,14,18,27,29,34,28
2005-04-16,3,25,28,34,37,44,12
2005-04-23,8,14,18,24,35,41,38
2005-04-30,5,15,21,27,37,42,12
2005-05-07,5,12,23,30,36,43,29
2005-05-14,6,11,12,20,23,42,16
2005-05-21,2,6,7,25,37,41,3
2005-05-28,13,17,23,39,42,45,12
2005-06-04,4,7,9,12,25,36,23
2005-06-11,1,5,17,20,30,33,12
2005-06-18,6,7,10,15,16,21,33
2005-06-25,2,13,16,19,26,29,34
2005-07-02,9,11,22,28,35,37,22
2005-07-09,11,13,20,32,39,44,33
2005-07-16,13,16,19,23,32,38,45
2005-07-23,5,19,26,38,41,45,33
2005-07-30,8,14,15,16,17,40,43
2005-08-06,8,9,16,31,33,37,36
2005-08-13,1,2,14,16,27,33,41
2005-08-20,13,15,29,34,40,41,45
2005-08-27,1,2,26,37,38,43,19
2005-09-03,6,15,16,33,34,37,43
2005-09-10,1,9,10,12,21,32,21
2005-09-17,8,15,30,34,36,43,35
2005-09-24,2,9,17,26,33,34,24
2005-10-01,16,18,24,32,43,44,7
2005-10-08,18,27,36,42,43,44,42
2005-10-15,1,22,25,27,31,45,38
2005-10-22,1,9,11,15,31,34,29
2005-10-29,8,14,27,28,41,44,14
2005-11-05,7,10,23,25,28,36,27
2005-11-12,2,15,24,26,28,33,4
2005-11-19,14,21,23,32,37,44,14
2005-11-26,11,22,31,35,36,42,5
2005-12-03,2,29,37,38,39,41,44
2005-12-10,13,16,20,24,36,43,34
2005-12-17,3,14,20,30,38,39,8
2005-12-24,2,11,18,34,43,45,11
2005-12-31,5,8,9,26,32,40,8
2006-01-07,4,8,17,21,39,42,7
2006-01-14,5,6,13,31,34,36,9
2006-01-21,3,16,22,32,35,37,7
2006-01-28,11,14,18,32,37,41,19
2006-02-04,4,23,25,34,35,44,39
2006-02-11,7,10,21,23,35,42,18
2006-02-18,3,8,29,32,40,45,36
2006-02-25,5,14,21,29,31,33,22
2006-03-04,12,19,27,41,43,45,20
2006-03-11,9,19,24,27,33,36,6
2006-03-18,6,7,9,11,19,39,35
2006-03-25,9,10,18,22,33,40,27
2006-04-01,2,6,9,15,35,40,33
2006-04-08,7,12,20,30,31,37,11
2006-04-15,8,18,19,31,32,37,23
2006-04-22,3,8,14,24,38,45,16
2006-04-29,5,14,22,33,41,45,21
2006-05-06,9,21,22,28,29,31,11
2006-05-13,2,9,18,22,26,32,9
2006-05-20,5,8,27,32,37,45,24
2006-05-27,2,5,6,7,35,45,37
2006-06-03,14,16,24,26,36,40,1
2006-06-10,14,16,21,27,36,40,15
2006-06-17,10,11,23,34,36,37,28
2006-06-24,10,21,29,30,33,37,18
2006-07-01,8,9,30,31,34,41,1
2006-07-08,12,21,22,28,29,33,34
2006-07-15,3,6,12,23,24,28,13
2006-07-22,4,10,15,31,42,43,21
2006-07-29,1,5,15,21,23,39,42
2006-08-05,3,12,28,29,38,42,5
2006-08-12,6,8,23,25,34,41,15
2006-08-19,1,6,18,23,26,34,33
2006-08-26,16,20,28,33,38,45,26
2006-09-02,1,28,30,31,35,39,21
2006-09-09,1,5,24,34,35,44,19
2006-09-16,8,15,16,28,32,45,38
2006-09-23,9,10,19,22,28,40,10
2006-09-30,20,25,28,29,30,42,41
2006-10-07,4,14,17,22,39,45,10
2006-10-14,9,11,12,26,31,39,39
2006-10-21,8,12,17,31,39,44,23
2006-10-28,8,20,29,30,41,45,6
2006-11-04,5,15,16,20,25,38,39
2006-11-11,1,4,10,14,34,37,25
2006-11-18,4,12,18,19,40,41,27
2006-11-25,2,10,13,18,24,42,27
2006-12-02,12,14,16,23,32,36,17
2006-12-09,6,12,25,26,28,40,7
2006-12-16,8,10,19,28,37,44,22
2006-12-23,2,4,24,38,44,45,4
2006-12-30,3,6,8,19,21,44,35
2007-01-06,6,18,24,29,40,41,8
2007-01-13,19,20,24,27,32,44,33
2007-01-20,4,13,14,32,33,35,10
2007-01-27,3,5,12,13,29,36,20
2007-02-03,14,21,30,35,37,39,22
2007-02-10,3,15,25,30,32,35,23
2007-02-17,5,14,15,17,18,23,3
2007-02-24,9,15,23,24,37,41,42
2007-03-03,7,8,25,27,35,40,3
2007-03-10,2,3,11,12,13,18,39
2007-03-17,20,28,29,32,43,44,32
2007-03-24,3,11,14,18,28,35,5
2007-03-31,1,16,21,24,40,41,40
2007-04-07,6,14,19,25,28,29,12
2007-04-14,1,6,27,34,41,42,39
2007-04-21,24,26,30,34,43,45,3
2007-04-28,3,13,16,22,25,35,43
2007-05-05,16,20,21,26,42,44,41
2007-05-12,2,9,20,31,33,36,37
2007-05-19,18,28,33,38,39,42,17
2007-05-26,7,16,23,26,28,33,5
2007-06-02,2,6,24,31,37,45,40
2007-06-09,7,10,20,39,43,45,23
2007-06-16,10,11,16,24,32,33,12
2007-06-23,10,19,35,41,42,44,8
2007-06-30,6,12,14,21,25,43,26
2007-07-07,4,7,14,19,29,40,9
2007-07-14,1,6,7,9,29,37,36
2007-07-21,4,15,20,29,30,35,44
2007-07-28,7,14,21,27,40,44,13
2007-08-04,1,4,15,28,29,31,1
2007-08-11,2,22,25,30,33,40,5
2007-08-18,11,13,24,26,28,37,10
2007-08-25,4,7,13,24,43,44,3
2007-09-01,6,9,10,15,21,38,42
2007-09-08,3,14,18,26,34,43,16
2007-09-15,2,9,11,12,13,33,9
2007-09-22,1,5,6,18,19,26,12
2007-09-29,4,13,14,15,27,37,15
2007-10-06,7,14,17,20,27,45,7
2007-10-13,19,20,29,30,33,38,18
2007-10-20,2,8,16,29,31,45,17
2007-10-27,1,18,32,35,44,45,7
2007-11-03,14,20,23,26,32,36,34
2007-11-10,6,8,12,14,26,45,31
2007-11-17,1,5,26,27,39,44,29
2007-11-24,4,16,18,19,21,45,21
2007-12-01,8,11,16,26,30,38,31
2007-12-08,9,15,35,37,40,41,38
2007-12-15,3,7,14,15,26,31,19
2007-12-22,13,14,30,32,35,41,13
2007-12-29,6,8,19,34,37,38,38
2008-01-05,3,6,8,9,25,31,7
2008-01-12,1,3,8,18,27,40,26
2008-01-19,5,7,12,15,21,25,7
2008-01-26,20,23,25,29,31,42,34
2008-02-02,9,18,26,27,30,43,27
2008-02-09,4,6,16,17,38,41,40
2008-02-16,15,16,22,28,41,44,14
2008-02-23,3,8,10,23,38,44,26
2008-03-01,2,24,25,32,33,39,4
2008-03-08,2,3,9,11,24,33,37
2008-03-15,5,15,28,32,40,41,2
2008-03-22,4,6,11,20,24,26,37
2008-03-29,1,4,16,18,27,44,21
2008-04-05,7,10,18,32,39,41,25
2008-04-12,16,18,19,22,24,34,15
2008-04-19,7,8,12,22,27,37,36
2008-04-26,9,10,36,37,39,45,27
2008-05-03,27,33,37,38,42,45,30
2008-05-10,4,6,10,20,33,45,6
2008-05-17,10,12,19,38,39,40,35
2008-05-24,1,9,18,20,22,36,44
2008-05-31,2,5,8,9,13,42,32
2008-06-07,5,28,29,33,36,41,28
2008-06-14,14,15,16,21,26,42,43
2008-06-21,2,12,17,27,30,34,15
2008-06-28,2,12,14,17,19,35,6
2008-07-05,11,15,26,34,36,37,4
2008-07-12,7,11,32,33,38,43,18
2008-07-19,7,16,21,38,43,44,37
2008-07-26,9,12,21,30,33,37,3
2008-08-02,1,3,17,24,35,39,16
2008-08-09,3,8,17,25,37,45,12
2008-08-16,1,4,21,39,40,42,1
2008-08-23,2,3,12,19,29,41,31
2008-08-30,1,3,16,20,35,42,12
2008-09-06,3,14,15,16,41,45,45
2008-09-13,1,8,10,33,41,45,12
2008-09-20,13,15,27,36,41,45,15
2008-09-27,5,7,14,18,26,35,33
2008-10-04,2,18,23,36,37,40,20
2008-10-11,3,8,9,13,15,38,9
2008-10-18,7,9,20,25,34,40,25
2008-10-25,1,2,19,20,36,45,12
2008-11-01,3,13,15,20,29,31,9
2008-11-08,6,27,30,37,41,45,38
2008-11-15,1,7,9,11,34,42,34
2008-11-22,10,19,22,25,28,39,17
2008-11-29,9,10,13,30,34,35,27
2008-12-06,4,12,21,24,33,34,21
2008-12-13,6,19,22,32,35,36,35
2008-12-20,18,20,23,33,39,45,35
2008-12-27,9,10,17,20,25,40,36
2009-01-03,12,13,30,33,43,45,1
2009-01-10,7,10,23,27,31,35,14
2009-01-17,8,9,21,26,34,43,34
2009-01-24,13,14,21,22,25,42,22
2009-01-31,8,17,26,27,28,35,6
2009-02-07,8,9,10,13,16,29,34
2009-02-14,11,15,24,27,31,32,27
2009-02-21,6,7,14,32,39,44,19
2009-02-28,9,13,14,33,34,37,14
2009-03-07,4,23,26,30,40,41,29
2009-03-14,9,10,18,27,39,43,17
2009-03-21,21,22,26,31,38,42,11
2009-03-28,1,10,19,27,37,40,16
2009-04-04,3,18,21,22,37,42,14
2009-04-11,16,19,23,28,30,41,16
2009-04-18,1,8,24,32,39,43,41
2009-04-25,3,7,16,28,30,35,3
2009-05-02,12,13,21,31,32,43,11
2009-05-09,17,23,37,40,41,42,34
2009-05-16,12,17,20,25,42,43,21
2009-05-23,2,9,21,25,39,41,6
2009-05-30,5,10,15,18,30,39,31
2009-06-06,7,8,10,23,32,41,3
2009-06-13,8,22,25,37,41,45,22
2009-06-20,4,6,10,20,25,29,38
2009-06-27,15,18,21,29,31,33,45
2009-07-04,12,13,19,25,26,36,16
2009-07-11,2,5,20,27,29,35,35
2009-07-18,6,9,15,18,30,32,15
2009-07-25,13,14,23,24,32,33,35
2009-08-01,10,14,15,29,31,35,40
2009-08-08,1,6,11,12,13,27,1
2009-08-15,15,18,29,37,38,43,20
2009-08-22,17,21,23,24,34,36,12
2009-08-29,6,13,26,30,32,41,8
2009-09-05,6,13,14,36,38,43,11
2009-09-12,2,14,32,34,37,41,43
2009-09-19,3,10,13,34,38,41,9
2009-09-26,9,17,23,27,29,39,7
2009-10-03,1,12,13,14,16,30,7
2009-10-10,9,10,27,28,31,35,30
2009-10-17,12,22,28,30,35,45,39
2009-10-24,5,13,25,34,41,43,21
2009-10-31,2,7,13,20,34,40,4
2009-11-07,5,8,25,28,37,44,41
2009-11-14,2,11,25,28,39,41,3
2009-11-21,4,6,8,20,27,40,43
2009-11-28,4,15,22,36,38,39,15
2009-12-05,3,6,11,17,32,34,42
2009-12-12,5,7,27,33,42,45,2
2009-12-19,14,18,25,36,38,45,17
2009-12-26,2,22,29,35,42,45,11
2010-01-02,11,17,18,25,34,41,43
2010-01-09,8,10,11,22,40,45,45
2010-01-16,3,13,16,28,30,41,26
2010-01-23,4,6,20,31,34,43,9
2010-01-30,1,5,14,18,24,26,8
2010-02-06,7,14,27,30,33,40,31
2010-02-13,9,25,27,32,33,35,31
2010-02-20,1,17,19,29,33,44,40
2010-02-27,1,2,9,23,33,35,4
2010-03-06,11,15,18,22,24,31,17
2010-03-13,6,7,20,22,26,33,14
2010-03-20,9,10,13,29,33,44,26
2010-03-27,4,11,14,17,22,43,21
2010-04-03,2,5,16,27,28,43,25
2010-04-10,11,18,19,26,27,35,41
2010-04-17,5,11,21,28,39,43,14
2010-04-24,12,13,14,16,33,45,1
2010-05-01,1,10,13,24,26,41,13
2010-05-08,10,17,31,32,36,38,19
2010-05-15,5,15,16,17,30,32,42
2010-05-22,1,2,14,23,35,36,18
2010-05-29,9,13,21,23,29,41,2
2010-06-05,6,11,15,36,42,43,39
2010-06-12,4,7,12,19,22,42,30
2010-06-19,13,16,22,29,38,44,20
2010-06-26,3,7,11,21,26,35,40
2010-07-03,10,12,20,21,36,42,8
2010-07-10,3,11,15,16,19,24,31
2010-07-17,15,16,19,26,32,38,7
2010-07-24,3,9,11,23,27,29,30
2010-07-31,6,20,27,28,30,43,24
2010-08-07,1,10,28,32,40,43,14
2010-08-14,5,9,18,31,41,44,19
2010-08-21,5,22,27,28,36,44,39
2010-08-28,5,29,30,33,35,43,44
2010-09-04,2,8,17,20,26,36,21
2010-09-11,13,16,17,28,43,44,42
2010-09-18,5,11,18,19,34,41,24
2010-09-25,2,10,32,36,41,42,20
2010-10-02,1,4,5,11,27,42,5
2010-10-09,10,11,12,22,30,33,41
2010-10-16,5,13,15,22,35,38,14
2010-10-23,13,18,20,36,37,38,11
2010-10-30,3,9,12,21,26,37,16
2010-11-06,18,23,30,34,35,43,37
2010-11-13,12,16,23,24,39,40,31
2010-11-20,7,9,11,32,35,39,28
2010-11-27,4,15,21,27,31,38,45
2010-12-04,11,15,18,34,43,45,33
2010-12-11,3,7,12,27,29,37,4
2010-12-18,21,31,34,35,42,44,19
2010-12-25,12,14,16,23,26,36,24
2011-01-01,5,7,10,25,31,39,31
2011-01-08,17,24,26,33,44,45,29
2011-01-15,2,9,17,31,34,43,29
2011-01-22,1,2,4,5,14,40,32
2011-01-29,15,18,28,31,35,45,22
2011-02-05,5,7,33,35,37,44,12
2011-02-12,5,12,31,39,40,44,29
2011-02-19,4,13,16,17,21,37,36
2011-02-26,1,18,19,32,34,42,13
2011-03-05,8,11,16,19,20,30,29
2011-03-12,3,7,18,22,27,33,40
2011-03-19,1,7,8,14,38,39,6
2011-03-26,1,4,12,27,29,36,40
2011-04-02,16,28,35,38,39,44,1
2011-04-09,13,19,26,36,37,38,36
2011-04-16,17,22,32,39,41,43,38
2011-04-23,1,25,26,31,34,43,6
2011-04-30,2,3,28,38,41,43,31
2011-05-07,10,22,29,32,41,45,45
2011-05-14,20,27,38,39,42,44,24
2011-05-21,12,13,33,36,40,41,3
2011-05-28,5,14,22,23,25,30,44
2011-06-04,11,21,23,24,31,43,32
2011-06-11,4,11,24,29,32,39,5
2011-06-18,13,17,19,25,30,33,21
2011-06-25,7,11,25,36,38,43,19
2011-07-02,12,15,21,22,33,41,6
2011-07-09,1,14,15,24,28,31,45
2011-07-16,11,12,20,32,36,38,14
2011-07-23,2,15,34,39,40,44,29
2011-07-30,10,19,25,26,31,44,43
2011-08-06,5,10,11,13,14,28,4
2011-08-13,1,6,7,10,30,42,6
2011-08-20,4,10,24,25,29,42,17
2011-08-27,10,11,12,30,31,32,3
2011-09-03,9,10,19,24,36,42,39
2011-09-10,6,8,13,17,32,42,7
2011-09-17,3,4,24,27,31,32,41
2011-09-24,9,11,18,27,40,41,8
2011-10-01,8,14,24,25,27,37,41
2011-10-08,4,9,11,12,13,31,14
2011-10-15,3,4,17,19,25,31,40
2011-10-22,8,16,26,30,36,40,3
2011-10-29,3,16,19,25,35,42,19
2011-11-05,11,32,33,40,41,42,33
2011-11-12,12,23,31,33,36,45,41
2011-11-19,3,8,9,13,37,40,33
2011-11-26,6,17,24,30,33,35,6
2011-12-03,7,13,23,28,30,42,35
2011-12-10,5,15,17,24,25,43,37
2011-12-17,20,21,27,35,38,41,7
2011-12-24,6,11,25,26,28,31,40
2011-12-31,2,25,26,29,39,41,23
2012-01-07,9,13,15,23,38,42,35
2012-01-14,2,4,16,23,42,45,11
2012-01-21,8,11,23,30,34,39,38
2012-01-28,13,25,26,36,38,42,41
2012-02-04,6,15,17,30,32,39,21
2012-02-11,2,3,7,16,31,38,44
2012-02-18,15,18,23,26,30,40,28
2012-02-25,8,11,15,28,33,42,39
2012-03-03,16,21,26,28,39,42,30
2012-03-10,2,8,11,29,31,43,44
2012-03-17,4,7,8,19,27,29,32
2012-03-24,1,8,25,31,32,34,29
2012-03-31,1,8,15,22,28,42,44
2012-04-07,1,14,17,25,32,34,5
2012-04-14,1,4,12,22,32,44,37
2012-04-21,3,13,23,27,39,44,42
2012-04-28,8,26,34,38,42,44,15
2012-05-05,1,8,13,14,28,43,12
2012-05-12,3,16,23,30,43,44,44
2012-05-19,4,15,19,25,30,32,6
2012-05-26,14,26,27,30,32,41,8
2012-06-02,6,10,12,23,28,33,8
2012-06-09,1,3,26,27,30,32,42
2012-06-16,1,13,35,38,42,43,25
2012-06-23,6,24,25,38,39,42,13
2012-06-30,2,14,21,25,26,27,25
2012-07-07,5,10,11,19,20,43,21
2012-07-14,2,6,15,20,34,42,12
2012-07-21,1,15,18,21,26,27,28
2012-07-28,1,5,7,17,31,39,37
2012-08-04,7,12,21,24,29,32,35
2012-08-11,2,8,23,28,36,44,2
2012-08-18,3,13,18,20,30,44,23
2012-08-25,17,23,30,31,32,41,6
2012-09-01,2,6,15,21,27,44,10
2012-09-08,2,22,24,30,36,39,25
2012-09-15,1,17,19,22,25,31,40
2012-09-22,13,15,16,29,34,39,29
2012-09-29,7,13,19,27,30,45,14
2012-10-06,1,2,5,13,19,35,10
2012-10-13,1,4,5,13,36,43,32
2012-10-20,1,3,12,19,28,36,6
2012-10-27,3,4,26,27,29,43,26
2012-11-03,11,26,27,29,38,45,27
2012-11-10,7,8,15,32,36,37,45
2012-11-17,1,5,19,21,23,38,38
2012-11-24,2,13,15,24,27,43,1
2012-12-01,5,27,31,34,37,40,32
2012-12-08,5,15,18,20,26,33,3
2012-12-15,24,26,27,32,36,37,28
2012-12-22,4,14,27,30,31,40,25
2012-12-29,1,7,13,22,29,34,37
2013-01-05,2,3,7,17,21,29,11
2013-01-12,4,19,25,36,41,44,19
2013-01-19,11,19,24,34,37,41,20
2013-01-26,2,19,22,33,35,45,45
2013-02-02,7,13,19,21,30,45,5
2013-02-09,9,13,20,22,33,45,32
2013-02-16,1,3,9,22,43,44,13
2013-02-23,3,12,14,17,18,29,43
2013-03-02,14,19,24,28,29,41,38
2013-03-09,12,14,28,29,37,44,28
2013-03-16,9,11,15,26,27,41,18
2013-03-23,15,22,25,28,33,39,2
2013-03-30,2,12,13,29,37,38,9
2013-04-06,2,3,18,30,34,44,4
2013-04-13,13,18,21,29,32,39,20
2013-04-20,5,9,10,15,20,39,2
2013-04-27,4,5,9,19,26,42,41
2013-05-04,4,9,11,15,25,44,35
2013-05-11,3,14,16,30,40,41,11
2013-05-18,1,11,16,25,28,43,31
2013-05-25,19,25,36,40,41,45,16
2013-06-01,1,12,16,17,19,35,32
2013-06-08,1,3,10,29,30,35,30
2013-06-15,2,7,10,22,38,39,42
2013-06-22,4,24,35,36,38,41,45
2013-06-29,3,5,6,8,30,33,13
2013-07-06,1,10,11,22,26,28,19
2013-07-13,2,12,25,28,35,40,2
2013-07-20,1,4,5,27,35,38,40
2013-07-27,13,15,17,28,43,44,10
2013-08-03,24,28,37,41,43,44,17
2013-08-10,14,20,23,29,40,42,24
2013-08-17,8,15,30,32,38,41,21
2013-08-24,10,16,20,33,35,41,44
2013-08-31,4,23,28,29,34,40,27
2013-09-07,14,18,31,32,35,41,23
2013-09-14,1,16,22,25,37,45,1
2013-09-21,9,15,19,24,26,29,36
2013-09-28,3,5,14,28,38,44,42
2013-10-05,12,18,19,20,22,29,15
2013-10-12,9,11,22,26,28,40,40
2013-10-19,5,10,11,14,35,41,41
2013-10-26,7,10,11,15,27,38,25
2013-11-02,8,9,11,15,16,29,10
2013-11-09,1,22,26,28,32,40,27
2013-11-16,11,13,21,32,33,42,15
2013-11-23,8,17,28,29,32,38,35
2013-11-30,4,8,16,24,26,40,38
2013-12-07,1,6,7,14,20,33,9
2013-12-14,9,15,21,42,43,44,7
2013-12-21,10,11,18,31,40,43,14
2013-12-28,7,12,14,31,37,42,6
2014-01-04,1,3,5,8,24,40,8
2014-01-11,2,4,28,32,35,36,30
2014-01-18,10,18,23,24,40,43,4
2014-01-25,1,5,7,11,38,43,35
2014-02-01,4,5,8,41,43,44,36
2014-02-08,2,4,11,15,21,43,8
2014-02-15,6,14,16,37,41,44,14
2014-02-22,8,10,15,17,27,43,42
2014-03-01,3,6,15,22,25,43,5
2014-03-08,4,5,24,34,39,40,16
2014-03-15,5,15,16,34,36,45,36
2014-03-22,5,11,14,38,39,40,10
2014-03-29,6,8,9,12,17,27,29
2014-04-05,3,11,17,27,33,38,44
2014-04-12,1,12,14,31,33,44,45
2014-04-19,4,8,17,23,31,33,12
2014-04-26,5,10,13,22,28,35,13
2014-05-03,5,9,10,31,34,41,37
2014-05-10,4,15,16,29,30,36,2
2014-05-17,5,20,30,36,38,40,42
2014-05-24,3,15,22,31,38,41,12
2014-05-31,2,5,6,13,15,20,11
2014-06-07,2,17,18,24,32,33,4
2014-06-14,7,8,19,21,36,43,21
2014-06-21,7,15,17,25,30,45,21
2014-06-28,3,15,26,39,41,44,10
2014-07-05,4,14,18,25,27,45,8
2014-07-12,6,8,15,22,32,39,27
2014-07-19,2,12,19,20,31,45,19
2014-07-26,7,9,13,16,24,29,25
2014-08-02,8,13,15,17,29,35,34
2014-08-09,7,17,19,25,35,44,2
2014-08-16,3,16,25,31,34,43,26
2014-08-23,10,11,23,34,36,38,36
2014-08-30,1,14,21,27,28,30,34
2014-09-06,8,25,27,30,34,35,8
2014-09-13,1,11,15,31,36,40,36
2014-09-20,4,11,17,33,37,41,14
2014-09-27,5,8,23,33,38,45,45
2014-10-04,3,4,15,28,37,45,21
2014-10-11,13,20,27,28,32,37,23
2014-10-18,12,13,29,35,41,44,7
2014-10-25,7,16,18,26,29,30,42
2014-11-01,23,24,25,31,35,44,28
2014-11-08,3,11,12,17,31,41,8
2014-11-15,2,9,18,24,33,38,33
2014-11-22,4,7,11,25,37,42,36
2014-11-29,6,9,11,26,31,38,43
2014-12-06,9,12,25,31,34,42,12
2014-12-13,9,16,25,27,28,38,4
2014-12-20,9,11,17,22,36,38,25
2014-12-27,7,9,13,27,32,33,30
2015-01-03,7,11,12,17,29,40,11
2015-01-10,2,29,32,34,38,40,26
2015-01-17,2,6,22,29,31,42,45
2015-01-24,7,9,17,19,34,37,35
2015-01-31,19,31,32,33,37,43,6
2015-02-07,10,12,13,14,29,36,45
2015-02-14,3,5,22,23,32,45,28
2015-02-21,12,15,16,24,41,43,18
2015-02-28,7,10,14,16,28,41,35
2015-03-07,2,12,25,31,44,45,19
2015-03-14,2,7,26,37,44,45,33
2015-03-21,17,19,30,32,34,37,17
2015-03-28,7,11,24,30,35,41,39
2015-04-04,10,23,25,32,37,41,26
2015-04-11,2,7,12,16,22,23,38
2015-04-18,2,19,24,26,31,39,30
2015-04-25,3,20,23,36,37,41,42
2015-05-02,6,12,29,36,41,44,41
2015-05-09,13,16,37,38,39,41,31
2015-05-16,1,3,21,27,33,37,27
2015-05-23,4,7,26,27,37,41,37
2015-05-30,2,7,11,19,41,42,32
2015-06-06,10,13,14,30,44,45,45
2015-06-13,8,13,14,22,26,41,43
2015-06-20,6,15,22,30,34,45,9
2015-06-27,1,14,19,23,37,42,36
2015-07-04,5,14,17,28,40,43,10
2015-07-11,2,4,8,10,23,24,1
2015-07-18,16,25,29,36,38,44,36
2015-07-25,7,17,19,20,23,25,13
2015-08-01,1,11,12,15,42,44,24
