Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Supp 1,Supp 2
2006-03-08,1,11,14,15,37,43,39,3
2006-03-15,12,13,24,25,35,43,26,3
2006-03-22,17,20,24,25,32,44,24,44
2006-03-29,18,20,26,30,31,36,39,4
2006-04-05,1,10,16,27,40,41,35,44
2006-04-12,9,11,13,23,34,39,33,11
2006-04-19,14,21,23,24,25,32,15,43
2006-04-26,13,16,29,33,34,40,18,43
2006-05-03,13,14,19,37,40,41,6,44
2006-05-10,20,25,26,27,30,31,42,20
2006-05-17,3,5,8,34,36,42,10,30
2006-05-24,25,27,32,33,40,42,17,24
2006-05-31,15,27,31,36,37,39,37,18
2006-06-07,4,11,18,25,38,42,8,21
2006-06-14,7,12,23,24,26,41,29,27
2006-06-21,5,7,8,29,39,44,38,34
2006-06-28,8,11,21,34,38,43,34,4
2006-07-05,7,9,10,18,26,41,25,11
2006-07-12,2,3,28,32,40,41,22,1
2006-07-19,4,16,20,30,36,44,1,42
2006-07-26,3,26,31,33,35,44,45,4
2006-08-02,7,25,28,32,43,44,37,8
2006-08-09,1,15,16,29,30,33,41,28
2006-08-16,5,10,21,26,28,44,45,39
2006-08-23,7,9,12,25,30,42,7,20
2006-08-30,5,11,21,25,39,41,21,8
2006-09-06,2,12,22,35,41,45,19,19
2006-09-13,3,8,28,34,38,42,15,42
2006-09-20,5,10,11,22,32,44,42,9
2006-09-27,5,9,17,26,28,37,43,16
2006-10-04,6,8,10,20,25,43,31,11
2006-10-11,8,9,15,23,29,36,40,3
2006-10-18,4,9,24,29,35,36,42,11
2006-10-25,7,9,16,18,34,39,40,42
2006-11-01,1,7,10,11,43,45,21,39
2006-11-08,11,29,32,33,42,44,40,16
2006-11-15,2,6,17,25,31,36,28,10
2006-11-22,12,13,16,37,42,44,45,15
2006-11-29,5,12,18,21,26,40,2,45
2006-12-06,5,6,15,16,17,42,12,8
2006-12-13,3,13,14,18,23,44,16,38
2006-12-20,6,16,17,33,35,36,24,24
2006-12-27,15,24,32,33,37,38,12,10
2007-01-03,5,13,14,18,26,30,37,18
2007-01-10,2,27,33,40,41,43,10,4
2007-01-17,8,11,17,21,30,33,44,40
2007-01-24,10,15,18,30,32,38,23,8
2007-01-31,3,14,15,26,28,38,18,35
2007-02-07,5,27,35,41,43,44,4,27
2007-02-14,2,22,24,26,28,40,26,39
2007-02-21,9,19,25,28,30,33,43,2
2007-02-28,3,11,12,20,27,28,17,20
2007-03-07,1,9,12,34,36,39,38,23
2007-03-14,20,21,24,30,36,40,5,45
2007-03-21,21,24,25,30,31,40,44,37
2007-03-28,5,11,17,22,25,33,20,24
2007-04-04,11,14,22,23,43,45,35,15
2007-04-11,4,31,32,35,39,40,20,4
2007-04-18,3,4,15,18,30,38,42,29
2007-04-25,6,12,26,36,40,42,33,11
2007-05-02,3,6,22,25,28,32,9,39
2007-05-09,9,14,21,30,38,40,40,9
2007-05-16,12,14,20,23,28,39,10,18
2007-05-23,1,5,16,18,28,41,24,35
2007-05-30,3,11,12,18,33,35,28,2
2007-06-06,6,7,9,15,25,44,8,35
2007-06-13,6,17,32,34,43,44,10,33
2007-06-20,5,14,24,27,32,41,19,18
2007-06-27,6,8,14,27,32,38,10,41
2007-07-04,5,20,27,40,42,43,5,7
2007-07-11,1,2,8,11,14,19,17,38
2007-07-18,11,14,17,19,28,45,10,31
2007-07-25,6,8,11,13,27,32,12,19
2007-08-01,6,9,14,24,25,44,9,28
2007-08-08,4,6,22,29,32,34,30,33
2007-08-15,11,23,28,40,41,43,39,34
2007-08-22,2,9,21,26,35,43,21,41
2007-08-29,1,23,24,31,34,35,26,13
2007-09-05,1,11,20,23,35,40,33,15
2007-09-12,1,18,20,23,36,39,35,4
2007-09-19,9,17,27,32,43,44,5,6
2007-09-26,7,18,22,23,39,42,39,23
2007-10-03,3,19,21,26,33,37,34,34
2007-10-10,2,9,10,33,41,43,23,39
2007-10-17,8,10,26,29,36,44,34,11
2007-10-24,2,8,11,13,40,42,30,27
2007-10-31,7,9,17,33,34,43,11,20
2007-11-07,10,24,33,34,39,42,5,27
2007-11-14,8,15,21,28,36,40,14,16
2007-11-21,14,15,30,35,36,38,7,11
2007-11-28,3,5,6,8,29,34,27,31
2007-12-05,3,4,8,9,23,30,23,44
2007-12-12,9,18,23,27,35,38,28,20
2007-12-19,4,8,13,17,37,41,4,28
2007-12-26,5,11,24,26,31,45,26,18
2008-01-02,2,3,5,24,31,43,8,23
2008-01-09,7,13,23,28,30,38,33,14
2008-01-16,14,16,17,19,24,45,19,2
2008-01-23,6,10,12,18,22,43,40,36
2008-01-30,3,11,24,29,30,41,22,38
2008-02-06,8,16,18,26,28,45,22,33
2008-02-13,11,25,32,34,39,41,34,32
2008-02-20,14,15,16,34,42,43,11,37
2008-02-27,3,36,38,40,44,45,15,14
2008-03-05,17,23,24,32,34,36,42,18
2008-03-12,13,17,22,24,28,33,39,19
2008-03-19,5,18,28,30,31,35,2,11
2008-03-26,9,15,20,23,24,43,17,7
2008-04-02,12,18,20,25,40,45,14,35
2008-04-09,12,16,21,32,36,37,15,29
2008-04-16,6,12,17,37,43,45,15,29
2008-04-23,4,9,19,27,28,43,25,43
2008-04-30,7,16,39,41,42,43,20,20
2008-05-07,3,11,21,39,42,45,21,25
2008-05-14,8,12,21,23,37,45,12,28
2008-05-21,1,5,20,29,33,40,8,15
2008-05-28,1,22,26,29,37,42,29,19
2008-06-04,1,8,9,31,37,40,23,20
2008-06-11,7,11,25,29,32,33,12,29
2008-06-18,4,10,17,31,35,40,41,34
2008-06-25,11,15,16,22,33,45,25,42
2008-07-02,6,8,14,23,30,45,7,4
2008-07-09,12,15,22,24,25,40,30,37
2008-07-16,13,14,15,29,42,45,21,6
2008-07-23,1,7,8,15,23,36,12,43
2008-07-30,9,14,16,17,22,31,7,43
2008-08-06,1,16,25,27,36,39,37,42
2008-08-13,2,9,14,18,31,34,7,28
2008-08-20,1,4,8,28,37,44,10,4
2008-08-27,4,18,22,26,36,38,9,28
2008-09-03,3,19,38,40,43,44,2,35
2008-09-10,1,10,21,23,25,26,7,11
2008-09-17,1,17,22,23,25,40,19,38
2008-09-24,13,20,22,24,34,40,42,10
2008-10-01,13,18,23,32,35,39,4,2
2008-10-08,1,7,25,34,35,42,27,17
2008-10-15,2,26,29,31,34,41,39,22
2008-10-22,2,5,11,12,14,43,6,43
2008-10-29,13,18,20,30,31,39,8,23
2008-11-05,18,23,29,42,44,45,34,28
2008-11-12,5,24,27,31,37,44,2,37
2008-11-19,5,9,18,29,36,45,20,8
2008-11-26,10,11,21,36,37,45,35,18
2008-12-03,11,14,16,17,39,43,45,22
2008-12-10,4,26,30,36,39,41,35,17
2008-12-17,2,18,36,37,41,44,28,10
2008-12-24,6,7,13,21,28,30,19,43
2008-12-31,6,7,12,19,27,45,29,38
2009-01-07,7,10,20,37,39,40,4,3
2009-01-14,10,12,13,15,28,29,32,45
2009-01-21,7,11,15,21,24,31,7,1
2009-01-28,1,20,22,34,40,44,44,18
2009-02-04,5,9,12,33,37,45,35,17
2009-02-11,1,3,4,16,29,38,8,31
2009-02-18,10,14,18,23,29,37,20,35
2009-02-25,6,21,23,37,42,43,34,30
2009-03-04,13,14,18,33,34,38,37,31
2009-03-11,4,14,21,23,29,32,44,20
2009-03-18,2,6,9,28,33,39,30,31
2009-03-25,1,13,14,17,39,41,6,40
2009-04-01,7,13,16,25,27,43,22,43
2009-04-08,5,14,16,19,35,38,14,12
2009-04-15,3,8,14,15,26,44,19,45
2009-04-22,3,19,21,28,30,42,42,40
2009-04-29,10,13,19,23,32,42,34,11
2009-05-06,10,11,28,35,41,42,32,4
2009-05-13,2,11,24,32,34,37,9,39
2009-05-20,19,30,35,37,38,43,16,17
2009-05-27,2,4,10,25,27,34,6,26
2009-06-03,9,14,18,33,35,41,30,16
2009-06-10,10,16,20,25,40,43,29,23
2009-06-17,4,9,13,29,40,43,22,29
2009-06-24,2,25,29,32,42,44,12,33
2009-07-01,8,13,14,26,42,44,31,14
2009-07-08,5,7,14,17,31,37,19,31
2009-07-15,11,25,31,34,39,42,15,8
2009-07-22,2,11,18,28,30,34,7,12
2009-07-29,8,16,17,23,28,40,15,39
2009-08-05,20,24,27,29,37,41,35,8
2009-08-12,7,17,20,23,34,39,19,44
2009-08-19,4,10,14,17,26,29,39,10
2009-08-26,2,4,16,19,34,35,32,27
2009-09-02,2,4,21,33,41,45,1,25
2009-09-09,1,12,13,21,31,41,5,29
2009-09-16,8,13,27,32,37,39,22,8
2009-09-23,3,10,11,12,17,41,35,20
2009-09-30,6,14,18,21,26,32,41,8
2009-10-07,4,5,10,11,29,42,5,1
2009-10-14,12,14,28,29,40,44,40,34
2009-10-21,6,27,32,34,39,44,28,12
2009-10-28,5,12,19,29,39,40,43,10
2009-11-04,8,13,14,27,31,34,23,28
2009-11-11,5,10,34,37,43,44,22,24
2009-11-18,24,25,27,33,40,41,23,21
2009-11-25,2,6,10,14,25,29,21,25
2009-12-02,2,6,10,24,36,42,10,2
2009-12-09,8,9,10,29,42,45,36,3
2009-12-16,12,14,22,25,35,37,23,5
2009-12-23,3,25,30,38,43,45,24,13
2009-12-30,11,13,37,42,44,45,22,11
2010-01-06,8,9,11,20,28,31,29,39
2010-01-13,13,24,34,38,40,43,24,32
2010-01-20,15,18,23,24,43,45,18,44
2010-01-27,2,19,22,27,29,31,27,4
2010-02-03,10,15,20,25,30,39,40,29
2010-02-10,5,20,28,29,37,45,35,8
2010-02-17,5,16,20,36,41,42,36,20
2010-02-24,10,19,29,36,38,39,44,14
2010-03-03,5,13,24,25,36,39,1,33
2010-03-10,10,24,30,31,36,42,31,26
2010-03-17,8,12,16,22,38,45,38,31
2010-03-24,3,15,32,34,37,41,38,2
2010-03-31,7,18,21,33,35,39,40,7
2010-04-07,5,13,18,20,33,38,5,3
2010-04-14,3,17,23,28,33,45,31,26
2010-04-21,9,19,22,25,39,43,29,35
2010-04-28,3,20,22,30,31,34,9,11
2010-05-05,8,9,10,12,28,40,17,6
2010-05-12,1,36,37,38,40,42,13,44
2010-05-19,5,8,31,33,34,45,2,37
2010-05-26,6,12,13,23,31,38,18,18
2010-06-02,3,6,16,17,23,32,28,5
2010-06-09,1,6,11,23,37,40,5,43
2010-06-16,7,10,17,23,33,44,38,34
2010-06-23,1,4,23,28,35,36,16,43
2010-06-30,2,5,14,17,18,22,2,21
2010-07-07,11,17,23,27,28,45,14,30
2010-07-14,5,12,20,25,28,40,27,13
2010-07-21,4,5,14,36,38,43,22,40
2010-07-28,15,25,27,33,38,39,13,45
2010-08-04,1,16,35,36,44,45,6,20
2010-08-11,7,9,22,27,36,37,29,20
2010-08-18,4,10,18,25,29,43,3,35
2010-08-25,16,25,26,27,33,40,14,10
2010-09-01,6,8,24,36,38,41,28,27
2010-09-08,5,7,14,25,28,38,25,8
2010-09-15,8,25,28,29,37,39,30,39
2010-09-22,8,14,17,27,36,45,18,10
2010-09-29,10,12,21,23,28,45,23,39
2010-10-06,3,7,11,22,42,43,39,3
2010-10-13,1,16,18,27,36,41,36,41
2010-10-20,4,7,14,37,44,45,4,1
2010-10-27,5,11,13,16,29,38,39,11
2010-11-03,8,16,26,35,42,45,8,37
2010-11-10,1,10,13,26,37,42,2,44
2010-11-17,7,16,27,28,30,34,21,7
2010-11-24,6,9,26,35,36,39,12,7
2010-12-01,21,22,27,34,38,43,15,28
2010-12-08,1,6,11,23,33,42,1,31
2010-12-15,1,16,17,20,26,27,42,17
2010-12-22,2,3,7,16,19,31,12,22
2010-12-29,7,9,14,31,34,35,25,34
2011-01-05,4,9,14,18,34,36,32,45
2011-01-12,6,13,28,36,40,41,36,9
2011-01-19,13,15,20,25,29,35,41,3
2011-01-26,24,28,29,31,34,37,39,14
2011-02-02,5,18,25,28,37,41,43,32
2011-02-09,9,11,21,22,27,39,26,18
2011-02-16,3,7,10,24,27,33,24,20
2011-02-23,7,25,33,36,37,43,16,1
2011-03-02,1,7,9,10,33,44,40,38
2011-03-09,3,8,14,33,36,38,44,27
2011-03-16,2,14,23,34,41,44,43,27
2011-03-23,6,9,16,26,35,39,5,6
2011-03-30,12,14,15,22,25,32,17,41
2011-04-06,10,11,14,15,25,38,9,36
2011-04-13,2,9,12,29,34,38,25,30
2011-04-20,2,8,15,22,26,39,32,41
2011-04-27,2,5,7,20,39,41,41,35
2011-05-04,2,16,19,21,22,33,7,26
2011-05-11,1,9,16,23,33,35,7,11
2011-05-18,6,16,18,19,22,26,7,32
2011-05-25,3,10,12,18,32,39,35,31
2011-06-01,1,8,14,33,35,44,8,14
2011-06-08,1,8,16,31,37,44,22,20
2011-06-15,6,23,28,29,37,40,35,39
2011-06-22,3,6,7,8,30,43,28,29
2011-06-29,10,19,20,32,33,44,41,35
2011-07-06,4,10,20,21,22,45,32,26
2011-07-13,5,16,18,22,27,36,24,12
2011-07-20,3,16,29,34,40,44,28,43
2011-07-27,10,31,33,36,37,44,14,14
2011-08-03,2,11,16,20,33,40,33,2
2011-08-10,1,8,18,24,34,35,8,43
2011-08-17,7,12,20,29,31,44,41,40
2011-08-24,3,13,28,35,37,45,45,36
2011-08-31,2,4,16,17,26,43,40,9
2011-09-07,4,12,34,35,37,44,38,16
2011-09-14,7,12,14,22,40,45,42,37
2011-09-21,9,11,13,33,39,41,40,39
2011-09-28,12,16,18,24,31,38,16,13
2011-10-05,2,8,18,19,22,29,40,43
2011-10-12,2,8,29,34,40,43,14,39
2011-10-19,2,8,21,25,36,38,10,24
2011-10-26,16,27,29,41,43,44,25,21
2011-11-02,20,29,34,37,43,44,31,5
2011-11-09,1,7,12,34,39,40,3,44
2011-11-16,4,24,27,29,33,38,22,38
2011-11-23,1,10,13,31,32,45,28,9
2011-11-30,5,15,25,28,34,41,7,39
2011-12-07,15,16,36,38,39,44,24,25
2011-12-14,3,16,17,18,19,42,6,25
2011-12-21,1,3,6,14,19,41,14,44
2011-12-28,7,12,16,21,30,40,24,19
2012-01-04,5,15,16,28,43,44,10,42
2012-01-11,4,6,7,25,26,41,15,39
2012-01-18,4,21,28,31,35,43,15,1
2012-01-25,5,15,19,21,22,26,25,33
2012-02-01,6,17,18,20,36,38,15,39
2012-02-08,8,10,25,26,39,42,39,45
2012-02-15,4,8,13,22,23,40,28,10
2012-02-22,10,16,27,31,33,45,28,40
2012-02-29,2,12,23,24,33,42,41,31
2012-03-07,1,9,17,21,22,24,39,8
2012-03-14,1,2,21,23,31,32,17,8
2012-03-21,7,8,14,20,36,39,39,33
2012-03-28,2,5,13,32,36,42,35,41
2012-04-04,4,16,28,32,33,35,24,4
2012-04-11,5,21,24,26,29,30,20,8
2012-04-18,5,7,9,14,27,34,42,2
2012-04-25,7,10,12,18,22,41,38,29
2012-05-02,1,3,6,8,29,44,24,11
2012-05-09,5,16,22,24,33,45,41,30
2012-05-16,2,18,26,27,31,34,6,16
2012-05-23,9,12,18,21,25,42,2,11
2012-05-30,1,4,26,28,32,38,7,45
2012-06-06,1,10,12,23,24,44,40,30
2012-06-13,5,6,15,29,32,42,20,19
2012-06-20,14,19,23,33,36,37,20,26
2012-06-27,3,8,15,36,40,42,24,15
2012-07-04,1,10,24,25,36,41,29,6
2012-07-11,1,9,16,35,39,42,32,26
2012-07-18,1,6,8,13,38,45,16,18
2012-07-25,4,6,15,26,32,35,4,20
2012-08-01,4,7,15,16,31,36,6,35
2012-08-08,7,24,25,37,38,41,41,17
2012-08-15,9,14,15,27,33,40,41,39
2012-08-22,16,17,28,32,38,44,8,20
2012-08-29,7,14,20,36,40,41,18,45
2012-09-05,3,12,24,28,34,36,32,36
2012-09-12,11,14,17,20,32,44,12,38
2012-09-19,3,8,27,30,31,38,17,35
2012-09-26,7,14,20,29,34,45,1,44
2012-10-03,3,20,27,37,40,45,18,6
2012-10-10,18,22,27,34,39,40,29,30
2012-10-17,14,24,25,27,36,43,11,41
2012-10-24,4,6,7,13,20,27,23,40
2012-10-31,7,14,16,18,37,44,21,19
2012-11-07,2,14,21,26,35,37,29,25
2012-11-14,15,20,21,22,29,44,5,21
2012-11-21,2,5,18,36,37,41,29,41
2012-11-28,14,26,29,30,34,44,10,29
2012-12-05,5,8,16,34,38,40,20,42
2012-12-12,6,10,13,25,28,40,9,11
2012-12-19,5,7,10,11,13,17,1,1
2012-12-26,1,2,14,15,26,43,10,6
2013-01-02,4,21,29,31,41,42,39,21
2013-01-09,9,23,32,35,39,45,11,29
2013-01-16,7,21,31,39,41,44,17,18
2013-01-23,5,16,27,30,39,42,12,20
2013-01-30,2,8,26,27,36,40,18,20
2013-02-06,4,10,23,32,38,44,19,11
2013-02-13,2,7,8,25,34,42,32,15
2013-02-20,2,19,21,25,27,44,24,9
2013-02-27,3,5,6,7,15,22,39,33
2013-03-06,1,3,18,19,25,45,8,21
2013-03-13,5,6,13,24,39,41,42,12
2013-03-20,7,8,17,26,37,39,4,43
2013-03-27,2,13,16,27,38,42,39,19
2013-04-03,4,14,18,19,24,45,8,27
2013-04-10,16,22,23,24,32,43,24,32
2013-04-17,6,12,19,31,44,45,30,17
2013-04-24,12,13,27,29,36,38,33,8
2013-05-01,1,8,19,27,38,45,41,8
2013-05-08,16,22,23,27,32,38,33,19
2013-05-15,1,4,20,21,26,37,44,28
2013-05-22,3,5,9,13,15,22,41,2
2013-05-29,11,30,33,35,41,44,28,29
2013-06-05,24,27,32,34,38,44,1,19
2013-06-12,16,20,22,30,32,37,25,43
2013-06-19,10,18,27,29,37,45,14,45
2013-06-26,17,20,23,28,31,37,7,15
2013-07-03,7,9,26,32,38,42,18,42
2013-07-10,8,9,13,26,37,44,30,43
2013-07-17,1,23,35,36,39,41,10,43
2013-07-24,4,12,13,14,33,44,41,29
2013-07-31,13,18,27,31,32,35,34,42
2013-08-07,2,15,26,29,39,45,5,25
2013-08-14,11,22,24,33,34,36,23,42
2013-08-21,2,6,13,25,28,40,19,15
2013-08-28,11,18,39,41,42,45,26,8
2013-09-04,4,13,35,37,38,41,45,42
2013-09-11,2,20,29,31,39,43,17,3
2013-09-18,3,7,14,15,17,23,27,1
2013-09-25,2,5,11,16,22,43,4,27
2013-10-02,1,3,6,22,37,45,41,29
2013-10-09,2,11,19,21,25,29,3,40
2013-10-16,5,19,30,34,35,39,2,37
2013-10-23,1,2,5,33,36,41,16,5
2013-10-30,3,19,20,22,27,39,32,21
2013-11-06,2,10,14,24,32,45,3,39
2013-11-13,3,5,9,13,31,33,4,17
2013-11-20,4,9,19,22,34,41,1,13
2013-11-27,1,7,16,17,20,27,31,15
2013-12-04,5,7,11,16,21,42,41,10
2013-12-11,1,5,21,24,38,44,34,14
2013-12-18,5,16,25,27,29,39,3,29
2013-12-25,6,13,27,30,38,45,14,24
2014-01-01,8,15,19,32,40,42,14,24
2014-01-08,6,11,18,20,24,31,10,45
2014-01-15,1,15,20,27,44,45,36,13
2014-01-22,8,15,20,26,28,29,2,6
2014-01-29,7,8,9,11,14,19,36,17
2014-02-05,13,19,27,30,35,38,40,39
2014-02-12,4,6,7,10,18,23,25,21
2014-02-19,2,7,11,27,37,44,39,41
2014-02-26,4,5,8,19,25,31,32,27
2014-03-05,9,13,33,39,40,41,4,25
2014-03-12,13,28,32,33,38,42,44,3
2014-03-19,5,9,17,21,32,42,22,5
2014-03-26,3,8,11,14,25,45,26,10
2014-04-02,1,13,26,30,38,42,34,1
2014-04-09,13,16,19,26,33,43,43,14
2014-04-16,9,16,17,19,25,30,16,15
2014-04-23,8,23,28,31,33,41,27,27
2014-04-30,4,9,14,16,21,25,13,34
2014-05-07,7,21,25,26,41,42,5,38
2014-05-14,4,9,10,19,26,43,38,42
2014-05-21,1,23,29,35,37,39,10,30
2014-05-28,9,10,15,16,21,42,36,45
2014-06-04,16,18,21,35,43,45,37,37
2014-06-11,4,12,14,26,27,29,23,14
2014-06-18,1,3,6,32,42,45,22,41
2014-06-25,4,15,21,26,30,31,17,13
2014-07-02,2,4,11,32,41,45,4,40
