date,n1,n2,n3,n4,n5,n6,bonus
2025-01-22,1,16,17,19,27,30,6
2025-01-25,1,8,16,19,28,42,24
2025-01-29,8,15,17,26,36,44,29
2025-02-01,3,35,37,41,42,44,13
2025-02-05,9,20,29,32,39,41,19
2025-02-08,1,4,5,19,20,37,39
2025-02-12,8,18,21,28,31,44,35
2025-02-15,2,17,22,26,42,44,40
2025-02-19,4,6,12,28,31,36,23
2025-02-22,5,9,16,18,19,42,34
2025-02-26,20,25,26,30,38,39,12
2025-03-01,8,18,26,27,33,43,25
2025-03-05,11,17,24,28,36,39,42
2025-03-08,29,30,31,34,42,45,9
2025-03-12,8,14,18,24,31,44,32
2025-03-15,7,11,13,14,21,29,45
2025-03-19,1,8,16,23,35,36,17
2025-03-22,7,13,15,22,24,40,37
2025-03-26,13,21,22,29,32,35,17
2025-03-29,11,14,17,18,23,33,43
2025-04-02,11,16,25,30,43,45,21
2025-04-05,3,20,25,27,29,41,8
2025-04-09,1,3,10,14,27,29,15
2025-04-12,17,21,25,28,29,35,10
2025-04-16,4,10,11,18,27,35,37
2025-04-19,4,6,24,26,42,44,29
2025-04-23,1,3,26,31,36,41,15
2025-04-26,4,9,13,29,38,43,23
2025-04-30,15,17,20,26,42,45,27
2025-05-03,10,12,15,19,22,30,34
2025-05-07,4,7,17,25,33,36,18
2025-05-10,1,15,19,24,25,32,45
2025-05-14,3,7,19,21,35,41,32
2025-05-17,4,7,9,14,43,44,41
2025-05-21,7,9,11,12,14,25,41
2025-05-24,15,19,28,36,39,45,33
2025-05-28,1,3,6,34,40,44,45
2025-05-31,2,3,8,22,27,44,21
2025-06-04,2,4,10,15,29,45,14
2025-06-07,1,4,11,26,36,44,20
2025-06-11,20,26,29,32,38,45,6
2025-06-14,4,8,10,19,22,23,7
2025-06-18,7,19,22,24,35,40,42
2025-06-21,1,7,16,23,27,32,12
2025-06-25,1,9,22,37,42,44,14
2025-06-28,10,34,36,39,40,43,8
2025-07-02,1,8,14,17,18,19,26
2025-07-05,6,13,17,28,35,40,1
2025-07-09,16,19,26,34,38,44,20
2025-07-12,2,4,26,36,42,45,18
2025-07-16,1,10,15,17,25,27,7
2025-07-19,2,14,18,23,28,45,5
2025-07-23,4,7,9,22,35,37,30
2025-07-26,4,13,18,19,20,45,2
2025-07-30,9,13,29,32,35,40,16
2025-08-02,1,6,7,10,27,35,34
2025-08-06,11,12,28,32,35,36,10
2025-08-09,3,11,17,24,33,39,27
2025-08-13,12,14,21,31,34,36,3
2025-08-16,6,16,23,27,40,45,19
2025-08-20,1,29,31,33,35,44,13
2025-08-23,3,15,16,22,26,39,20
2025-08-27,4,12,15,37,42,44,13
2025-08-30,6,7,12,23,25,41,45
2025-09-03,2,10,18,20,22,24,34
2025-09-06,2,14,23,24,36,38,1
2025-09-10,2,7,8,10,25,45,40
2025-09-13,1,13,18,30,33,44,3
2025-09-17,4,15,19,20,23,34,3
2025-09-20,8,16,17,24,30,33,40
2025-09-24,13,22,26,40,42,45,43
2025-09-27,8,18,29,34,37,41,11
2025-10-01,16,18,21,26,33,41,42
2025-10-04,7,10,13,23,30,33,28
2025-10-08,3,7,11,19,37,39,28
2025-10-11,13,17,22,24,25,29,8
2025-10-15,14,21,30,38,40,44,37
2025-10-18,13,24,28,33,38,45,17
2025-10-22,1,5,10,22,27,33,15
2025-10-25,3,11,21,25,31,39,41
2025-10-29,14,18,24,26,35,42,6
2025-11-01,2,12,21,27,35,45,28
2025-11-05,15,16,21,27,36,40,33
2025-11-08,14,17,18,32,36,39,7
2025-11-12,10,16,29,36,37,43,32
2025-11-15,5,17,19,28,29,39,21
2025-11-19,3,25,29,30,35,40,23
2025-11-22,3,15,19,22,31,33,16
2025-11-26,9,21,23,30,37,39,22
2025-11-29,9,14,31,32,38,39,1
2025-12-03,2,4,15,23,29,39,35
2025-12-06,7,12,13,35,41,45,20
2025-12-10,6,7,17,22,31,43,12
2025-12-13,10,26,29,31,42,44,14
2025-12-17,13,16,20,27,41,43,28
2025-12-20,10,11,14,21,37,42,33
2025-12-24,1,5,9,12,15,44,14
2025-12-27,1,25,29,33,38,41,30
2025-12-31,8,9,13,20,21,29,16
2026-01-03,4,9,17,23,37,40,27
2026-01-07,4,6,17,25,36,39,14
2026-01-10,5,32,39,41,44,45,11
2026-01-14,13,27,28,32,37,38,17
2026-01-17,9,13,17,23,44,45,7
2026-01-21,4,10,17,20,24,31,21
2026-01-24,2,9,15,23,28,32,12
2026-01-28,3,8,11,20,23,31,7
2026-01-31,2,5,26,28,34,42,30
2026-02-04,9,13,15,20,23,26,19
2026-02-07,12,21,22,25,30,32,38
2026-02-11,3,9,10,12,26,40,27
2026-02-14,17,20,22,24,26,30,32
2026-02-18,9,10,14,28,34,41,4
2026-02-21,1,15,20,23,25,29,16
2026-02-25,2,3,4,20,23,38,22
2026-02-28,6,10,13,26,38,42,11
2026-03-04,14,16,23,29,34,41,40
2026-03-07,4,5,6,10,32,35,7
2026-03-11,16,20,24,29,36,39,35
2026-03-14,6,11,26,36,40,41,7
2026-03-18,1,21,25,33,35,43,24
2026-03-21,3,4,8,20,29,45,13
2026-03-25,2,4,10,35,40,44,41
2026-03-28,2,3,14,15,22,24,42
2026-04-01,4,9,39,43,44,45,23
2026-04-04,17,20,23,24,27,32,12
2026-04-08,3,14,17,24,28,32,35
2026-04-11,5,14,20,24,30,38,32
2026-04-15,2,5,9,16,29,36,35
2026-04-18,5,19,23,24,25,38,44
2026-04-22,5,19,23,24,25,38,44
