Datum izvlačenja,Broj 1,Broj 2,Broj 3,Broj 4,Broj 5,Broj 6,Bonus broj
2004-04-07,4,6,15,18,41,42,13
2004-04-14,13,23,31,33,36,41,20
2004-04-21,4,10,14,29,34,36,5
2004-04-28,11,22,30,33,39,40,39
2004-05-05,5,13,17,27,33,43,45
2004-05-12,7,21,28,30,38,42,29
2004-05-19,12,13,18,29,33,41,43
2004-05-26,4,7,26,33,40,43,30
2004-06-02,2,4,10,25,41,42,3
2004-06-09,6,7,14,15,24,26,44
2004-06-16,5,10,23,27,34,43,18
2004-06-23,7,13,21,34,39,40,17
2004-06-30,2,14,20,28,29,34,17
2004-07-07,10,14,31,40,42,44,13
2004-07-14,11,18,26,29,31,39,27
2004-07-21,2,3,11,13,25,30,14
2004-07-28,9,10,12,27,30,43,31
2004-08-04,4,6,30,33,39,41,38
2004-08-11,22,24,26,28,30,43,37
2004-08-18,8,28,31,37,41,45,15
2004-08-25,1,7,12,21,38,45,43
2004-09-01,18,20,24,26,33,44,8
2004-09-08,3,4,6,21,29,36,26
2004-09-15,5,17,20,31,35,39,22
2004-09-22,6,7,18,23,32,34,28
2004-09-29,17,23,32,37,44,45,31
2004-10-06,6,11,14,28,30,36,30
2004-10-13,1,3,6,7,23,24,41
2004-10-20,3,13,21,23,41,44,24
2004-10-27,11,13,14,23,26,38,28
2004-11-03,2,17,18,22,32,45,39
2004-11-10,3,4,6,12,14,19,9
2004-11-17,8,9,14,31,33,40,19
2004-11-24,8,23,24,32,33,43,18
2004-12-01,1,5,26,27,30,32,10
2004-12-08,3,14,16,23,39,40,38
2004-12-15,8,10,16,30,39,41,17
2004-12-22,1,4,5,10,19,44,1
2004-12-29,5,8,10,22,30,36,16
2005-01-05,1,14,17,23,25,35,45
2005-01-12,17,20,23,30,37,38,31
2005-01-19,3,5,10,13,24,34,22
2005-01-26,7,28,30,37,41,43,19
2005-02-02,12,16,33,38,39,43,35
2005-02-09,6,15,21,23,25,30,5
2005-02-16,11,20,25,28,32,36,37
2005-02-23,11,16,18,38,42,44,11
2005-03-02,3,4,12,24,28,42,42
2005-03-09,13,17,19,20,36,38,37
2005-03-16,6,15,21,23,30,38,39
2005-03-23,19,22,24,26,36,40,27
2005-03-30,1,19,20,24,29,32,29
2005-04-06,24,31,32,41,43,44,36
2005-04-13,2,12,13,14,16,45,8
2005-04-20,1,3,5,24,28,31,44
2005-04-27,5,9,14,16,31,38,24
2005-05-04,8,12,17,25,36,44,28
2005-05-11,6,15,16,24,36,43,41
2005-05-18,1,7,11,23,28,34,26
2005-05-25,8,19,22,23,28,44,25
2005-06-01,1,4,5,15,24,33,23
2005-06-08,2,9,12,16,24,25,35
2005-06-15,19,22,23,28,29,39,19
2005-06-22,3,9,27,34,44,45,4
2005-06-29,19,21,28,31,37,43,12
2005-07-06,10,12,20,30,33,37,44
2005-07-13,5,21,25,31,33,38,41
2005-07-20,8,10,11,23,24,44,29
2005-07-27,2,11,35,37,40,41,27
2005-08-03,14,27,28,32,35,36,30
2005-08-10,10,17,18,21,27,39,45
2005-08-17,4,13,19,23,30,41,45
2005-08-24,17,19,20,31,39,42,38
2005-08-31,15,21,22,23,28,39,20
2005-09-07,2,12,28,35,36,39,29
2005-09-14,3,4,6,11,24,38,40
2005-09-21,6,11,19,35,37,39,10
2005-09-28,28,32,36,37,38,42,10
2005-10-05,7,8,15,22,30,42,11
2005-10-12,2,8,15,23,30,44,45
2005-10-19,4,10,28,31,40,45,13
2005-10-26,4,8,19,33,43,44,32
2005-11-02,2,4,7,18,38,44,20
2005-11-09,3,8,13,20,37,40,13
2005-11-16,8,23,29,32,38,42,14
2005-11-23,4,24,30,38,40,41,24
2005-11-30,8,23,33,37,42,45,23
2005-12-07,11,15,16,17,19,37,35
2005-12-14,5,8,15,29,34,35,9
2005-12-21,10,15,24,32,39,44,9
2005-12-28,6,10,14,15,19,35,40
2006-01-04,16,18,21,24,30,33,30
2006-01-11,14,16,20,30,33,35,35
2006-01-18,12,16,22,34,36,41,34
2006-01-25,10,15,26,32,35,42,22
2006-02-01,1,5,30,39,40,42,23
2006-02-08,23,25,32,33,35,45,14
2006-02-15,3,8,16,28,34,45,8
2006-02-22,6,13,15,20,42,44,23
2006-03-01,11,29,31,34,36,42,15
2006-03-08,11,16,33,42,43,44,19
2006-03-15,6,12,23,30,35,36,16
2006-03-22,8,9,10,25,30,36,3
2006-03-29,2,12,19,21,23,32,4
2006-04-05,4,10,12,21,31,42,16
2006-04-12,3,15,17,25,38,44,14
2006-04-19,2,7,9,17,18,31,25
2006-04-26,12,22,28,29,31,39,20
2006-05-03,4,10,12,18,26,35,15
2006-05-10,9,10,11,17,41,43,34
2006-05-17,1,14,18,32,43,45,17
2006-05-24,8,21,27,31,40,42,37
2006-05-31,1,3,4,22,29,37,23
2006-06-07,11,14,33,34,36,39,23
2006-06-14,1,18,19,32,36,43,14
2006-06-21,9,15,19,25,26,37,4
2006-06-28,2,17,23,33,35,42,3
2006-07-05,9,17,20,31,40,44,7
2006-07-12,13,15,19,34,35,39,30
2006-07-19,6,22,37,39,42,45,36
2006-07-26,10,19,20,22,29,30,10
2006-08-02,16,19,28,35,38,42,19
2006-08-09,3,9,11,16,27,39,12
2006-08-16,1,6,12,14,20,45,32
2006-08-23,5,11,13,16,17,43,14
2006-08-30,4,11,24,35,38,45,25
2006-09-06,10,13,20,22,39,42,23
2006-09-13,7,10,13,15,22,36,6
2006-09-20,20,24,29,31,42,45,26
2006-09-27,2,3,6,17,22,33,17
2006-10-04,5,6,11,16,23,41,29
2006-10-11,1,7,11,39,43,44,37
2006-10-18,3,4,21,27,32,34,32
2006-10-25,6,7,12,18,20,41,7
2006-11-01,5,15,29,34,35,45,45
2006-11-08,10,22,30,38,44,45,12
2006-11-15,4,5,11,14,23,45,14
2006-11-22,2,15,19,25,32,35,39
2006-11-29,11,28,29,30,37,42,10
2006-12-06,1,2,20,22,35,40,9
2006-12-13,2,10,19,26,34,38,37
2006-12-20,8,11,28,31,40,44,42
2006-12-27,1,3,7,28,30,43,28
2007-01-03,7,33,35,37,40,44,17
2007-01-10,1,8,17,23,24,40,10
2007-01-17,2,16,17,26,30,31,7
2007-01-24,3,12,14,21,31,37,13
2007-01-31,3,12,25,26,32,42,2
2007-02-07,5,7,13,34,41,43,16
2007-02-14,9,22,28,36,42,45,24
2007-02-21,1,3,14,18,28,33,32
2007-02-28,2,6,27,36,39,41,29
2007-03-07,8,10,20,30,32,36,35
2007-03-14,8,21,24,39,42,43,6
2007-03-21,19,26,31,37,39,42,12
2007-03-28,4,13,24,29,31,33,38
2007-04-04,2,4,28,29,33,40,28
2007-04-11,1,2,6,7,32,33,21
2007-04-18,1,2,5,21,30,44,16
2007-04-25,15,16,30,39,43,44,20
2007-05-02,10,11,24,25,44,45,18
2007-05-09,2,3,4,15,19,43,13
2007-05-16,10,22,31,32,34,39,39
2007-05-23,7,9,19,25,30,38,38
2007-05-30,3,20,24,25,32,33,10
2007-06-06,4,5,19,26,34,44,44
2007-06-13,2,4,12,15,28,29,40
2007-06-20,7,14,16,23,36,44,11
2007-06-27,8,10,27,32,39,44,30
2007-07-04,13,32,36,37,38,40,23
2007-07-11,5,8,9,11,26,33,28
2007-07-18,1,9,23,27,32,35,20
2007-07-25,4,14,25,31,38,44,17
2007-08-01,8,25,27,33,41,43,40
2007-08-08,1,16,21,34,43,45,13
2007-08-15,1,19,23,30,34,37,43
2007-08-22,1,5,29,32,36,43,42
2007-08-29,1,4,9,26,35,36,5
2007-09-05,1,2,3,4,7,41,2
2007-09-12,21,23,27,33,35,40,22
2007-09-19,9,26,27,35,38,42,44
2007-09-26,11,19,28,29,30,35,18
2007-10-03,6,9,16,24,35,41,27
2007-10-10,8,11,13,29,30,33,38
2007-10-17,7,19,34,41,43,45,12
2007-10-24,3,5,8,16,31,36,3
2007-10-31,5,8,16,18,22,40,26
2007-11-07,8,22,30,35,42,43,37
2007-11-14,9,14,15,18,32,43,30
2007-11-21,13,18,24,32,34,40,4
2007-11-28,4,12,14,17,43,45,14
2007-12-05,5,7,14,17,18,33,22
2007-12-12,1,10,11,18,36,44,43
2007-12-19,2,3,6,26,34,35,38
2007-12-26,8,10,13,17,35,38,32
2008-01-02,3,19,36,42,44,45,6
2008-01-09,9,11,28,40,42,43,37
2008-01-16,1,2,3,26,36,37,10
2008-01-23,16,20,21,26,41,44,42
2008-01-30,6,8,24,35,37,43,14
2008-02-06,3,11,14,15,27,28,30
2008-02-13,3,5,8,29,30,35,8
2008-02-20,8,10,29,34,35,39,23
2008-02-27,8,12,19,28,33,42,4
2008-03-05,7,14,21,22,28,42,10
2008-03-12,10,11,12,21,22,24,30
2008-03-19,8,13,25,26,41,42,25
2008-03-26,2,6,14,33,35,40,30
2008-04-02,5,6,13,27,30,44,22
2008-04-09,3,8,22,25,37,41,40
2008-04-16,2,3,12,14,24,44,13
2008-04-23,3,6,17,24,28,37,28
2008-04-30,14,18,19,22,24,36,14
2008-05-07,1,9,15,16,32,38,4
2008-05-14,6,16,27,32,38,45,16
2008-05-21,5,6,10,15,35,39,23
2008-05-28,1,13,21,29,33,42,10
2008-06-04,10,15,22,32,36,42,35
2008-06-11,1,3,13,14,15,40,2
2008-06-18,1,7,13,28,33,41,24
2008-06-25,1,16,17,24,35,45,13
2008-07-02,2,4,6,8,19,38,5
2008-07-09,13,17,20,21,27,37,35
2008-07-16,2,5,18,28,31,35,33
2008-07-23,3,9,17,20,32,43,36
2008-07-30,2,11,21,28,40,44,26
2008-08-06,4,10,16,30,33,35,27
2008-08-13,11,12,13,29,30,39,34
2008-08-20,1,14,15,19,28,29,32
2008-08-27,3,15,22,24,38,45,32
2008-09-03,2,6,13,18,26,38,9
2008-09-10,1,19,24,30,37,41,25
2008-09-17,3,6,23,26,29,43,25
2008-09-24,8,10,16,19,36,40,41
2008-10-01,2,16,22,29,30,38,34
2008-10-08,13,14,23,29,44,45,37
2008-10-15,1,3,9,11,38,39,2
2008-10-22,16,18,26,32,36,45,6
2008-10-29,9,11,18,20,39,40,12
2008-11-05,21,23,25,35,37,40,29
2008-11-12,6,7,18,25,26,41,25
2008-11-19,2,10,17,30,36,40,33
2008-11-26,3,5,7,33,39,40,45
2008-12-03,4,11,17,19,25,29,45
2008-12-10,3,14,24,26,33,39,9
2008-12-17,4,10,32,33,36,44,31
2008-12-24,10,14,25,27,41,43,37
2008-12-31,8,10,17,21,33,35,32
2009-01-07,7,13,23,35,38,41,8
2009-01-14,1,4,7,16,23,34,11
2009-01-21,4,16,23,24,31,44,15
2009-01-28,2,12,23,29,34,42,24
2009-02-04,6,9,11,13,20,38,42
2009-02-11,8,12,16,21,28,29,42
2009-02-18,25,31,33,38,40,44,22
2009-02-25,8,9,10,11,38,40,32
2009-03-04,5,10,12,14,15,25,43
2009-03-11,4,19,26,29,33,34,25
2009-03-18,1,17,20,29,31,41,19
2009-03-25,3,10,13,19,20,37,22
2009-04-01,1,12,29,30,32,39,29
2009-04-08,3,7,8,31,32,40,8
2009-04-15,2,8,14,18,39,43,11
2009-04-22,3,8,10,12,18,30,18
2009-04-29,8,9,19,27,38,41,27
2009-05-06,11,22,31,32,36,43,3
2009-05-13,8,16,27,29,30,31,22
2009-05-20,9,14,21,22,32,38,41
2009-05-27,14,19,22,23,38,39,5
2009-06-03,5,6,7,19,21,29,41
2009-06-10,10,14,26,30,34,41,39
2009-06-17,3,12,13,16,24,34,23
2009-06-24,13,19,31,33,36,39,6
2009-07-01,5,9,12,17,44,45,40
2009-07-08,5,8,24,30,37,38,37
2009-07-15,5,28,32,35,40,44,44
2009-07-22,5,15,22,36,42,43,44
2009-07-29,1,12,21,25,36,38,43
2009-08-05,6,8,11,23,24,34,28
2009-08-12,14,15,17,28,29,33,14
2009-08-19,3,6,10,15,29,43,22
2009-08-26,3,22,25,29,35,41,10
2009-09-02,10,24,26,31,35,37,30
2009-09-09,4,9,10,32,40,44,36
2009-09-16,4,5,9,27,29,31,16
2009-09-23,4,8,16,31,35,43,18
2009-09-30,12,13,15,24,26,35,31
2009-10-07,1,7,17,18,19,26,40
2009-10-14,9,13,14,16,29,36,4
2009-10-21,3,9,16,20,25,27,6
2009-10-28,4,7,8,13,16,18,6
2009-11-04,10,18,25,27,30,42,1
2009-11-11,2,9,16,23,24,27,44
2009-11-18,6,16,30,32,35,39,5
2009-11-25,1,3,16,18,19,37,26
2009-12-02,5,12,17,25,31,45,31
2009-12-09,9,24,30,31,36,40,10
2009-12-16,1,10,30,34,38,44,18
2009-12-23,20,21,25,34,41,45,1
2009-12-30,6,13,16,25,29,43,15
2010-01-06,10,11,24,25,38,41,13
2010-01-13,1,14,15,17,28,37,43
2010-01-20,10,24,25,28,33,44,45
2010-01-27,14,15,16,21,42,43,41
2010-02-03,10,16,19,25,34,38,39
2010-02-10,10,12,16,23,35,37,37
2010-02-17,7,17,19,23,25,42,8
2010-02-24,2,4,15,28,33,34,11
2010-03-03,6,24,25,29,34,41,20
2010-03-10,5,9,24,26,39,43,10
2010-03-17,7,14,17,28,38,39,5
2010-03-24,5,15,29,32,33,37,4
2010-03-31,14,32,34,40,43,44,11
2010-04-07,11,25,26,29,31,40,24
2010-04-14,4,13,25,31,33,37,26
2010-04-21,1,10,12,41,42,45,41
2010-04-28,16,18,19,27,29,37,22
2010-05-05,12,14,16,21,44,45,38
2010-05-12,1,4,8,13,19,29,17
2010-05-19,5,13,22,32,34,42,45
2010-05-26,4,8,14,32,35,36,34
2010-06-02,1,6,21,24,29,36,43
2010-06-09,5,9,18,21,25,28,32
2010-06-16,4,11,12,15,32,35,15
2010-06-23,2,5,11,17,24,41,9
2010-06-30,7,16,17,22,26,30,15
2010-07-07,5,13,17,28,44,45,43
2010-07-14,2,9,37,41,42,43,24
2010-07-21,7,20,21,23,33,45,1
2010-07-28,7,8,20,31,35,38,19
2010-08-04,15,19,21,34,40,41,33
2010-08-11,18,19,25,27,30,41,35
2010-08-18,5,11,17,20,29,35,43
2010-08-25,14,20,22,25,36,45,23
2010-09-01,1,2,18,19,27,36,39
2010-09-08,2,17,23,26,33,39,41
2010-09-15,1,13,16,19,25,34,4
2010-09-22,5,8,10,15,16,38,28
2010-09-29,1,15,21,31,33,34,4
2010-10-06,6,14,18,25,32,39,34
2010-10-13,3,6,18,21,23,36,2
2010-10-20,4,17,23,38,42,43,4
2010-10-27,4,10,22,33,40,44,15
2010-11-03,8,11,24,29,39,44,44
2010-11-10,2,21,23,25,28,40,12
2010-11-17,3,13,14,20,40,44,15
2010-11-24,17,20,21,25,44,45,36
2010-12-01,7,24,25,33,39,43,25
2010-12-08,7,15,26,27,35,42,37
2010-12-15,15,20,29,32,37,44,12
2010-12-22,1,11,20,29,33,42,37
2010-12-29,12,17,18,19,38,45,22
2011-01-05,2,5,7,10,17,20,33
2011-01-12,2,26,35,36,39,42,17
2011-01-19,9,14,23,28,29,37,29
2011-01-26,7,18,24,28,40,42,16
2011-02-02,13,14,15,20,32,36,21
2011-02-09,10,14,19,26,38,45,35
2011-02-16,8,12,20,26,30,40,41
2011-02-23,3,9,16,18,22,28,34
2011-03-02,8,12,16,21,27,40,33
2011-03-09,8,21,23,32,37,42,44
2011-03-16,1,6,19,22,26,31,29
2011-03-23,5,15,16,17,32,33,7
2011-03-30,3,10,15,23,33,43,17
2011-04-06,3,11,12,19,32,36,28
2011-04-13,1,17,33,35,42,43,17
2011-04-20,5,7,21,22,25,28,45
2011-04-27,8,17,21,29,38,41,16
2011-05-04,5,13,20,23,37,38,13
2011-05-11,1,5,10,11,12,23,9
2011-05-18,5,16,20,26,29,42,12
2011-05-25,6,10,16,29,39,41,1
2011-06-01,1,16,19,26,28,30,16
2011-06-08,10,16,18,26,31,32,29
2011-06-15,13,17,33,34,35,38,41
2011-06-22,15,18,26,27,35,43,24
2011-06-29,7,16,26,34,36,42,40
2011-07-06,7,10,16,25,30,33,8
2011-07-13,1,9,12,23,27,39,10
2011-07-20,8,11,15,16,43,44,29
2011-07-27,10,14,22,35,40,41,41
2011-08-03,1,5,6,11,26,27,14
2011-08-10,3,15,29,33,36,42,27
2011-08-17,11,15,25,29,38,44,8
2011-08-24,7,11,17,20,23,31,14
2011-08-31,12,15,22,23,24,32,20
2011-09-07,11,14,36,40,42,45,38
2011-09-14,8,10,21,24,27,40,16
2011-09-21,8,9,20,29,30,34,37
2011-09-28,9,17,34,41,42,43,3
2011-10-05,2,13,18,24,39,45,37
2011-10-12,1,12,16,24,33,36,32
2011-10-19,4,12,25,32,35,39,32
2011-10-26,8,16,29,32,34,45,29
2011-11-02,5,6,25,27,31,43,8
2011-11-09,2,3,30,34,41,43,29
2011-11-16,6,7,17,28,33,35,43
2011-11-23,4,9,21,29,39,40,11
2011-11-30,14,18,23,30,34,44,42
2011-12-07,2,14,16,21,27,44,30
2011-12-14,9,11,13,32,33,41,22
2011-12-21,22,26,31,35,41,44,43
2011-12-28,13,19,27,30,39,45,28
2012-01-04,2,8,26,32,33,42,33
2012-01-11,2,3,28,35,39,45,7
2012-01-18,5,16,18,20,30,39,20
2012-01-25,5,8,17,23,24,36,14
2012-02-01,11,23,27,30,36,43,40
2012-02-08,5,7,19,20,36,37,42
2012-02-15,4,6,14,15,21,32,26
2012-02-22,2,5,9,11,28,39,26
2012-02-29,4,9,12,20,27,44,42
2012-03-07,6,13,19,25,31,43,16
2012-03-14,5,7,12,27,37,44,12
2012-03-21,10,11,23,36,40,41,9
2012-03-28,3,10,13,16,34,43,45
2012-04-04,10,17,25,28,41,45,36
2012-04-11,11,17,26,27,29,38,40
2012-04-18,3,11,15,39,40,43,20
2012-04-25,2,10,15,24,39,44,29
2012-05-02,5,28,29,30,38,43,39
2012-05-09,11,18,21,34,36,41,34
2012-05-16,6,11,12,15,18,45,20
2012-05-23,3,10,18,20,31,32,33
2012-05-30,2,21,24,30,34,40,4
2012-06-06,7,18,20,21,27,45,17
2012-06-13,16,23,28,34,36,39,5
2012-06-20,1,6,10,15,29,38,22
2012-06-27,3,6,15,18,37,39,7
2012-07-04,15,26,28,31,37,43,7
2012-07-11,1,7,18,19,34,36,18
2012-07-18,3,9,23,26,35,40,28
2012-07-25,10,21,23,29,38,41,30
2012-08-01,11,14,24,29,35,39,23
2012-08-08,6,7,17,27,36,41,25
2012-08-15,5,7,23,25,27,45,25
2012-08-22,2,5,34,35,40,45,34
2012-08-29,9,24,27,29,37,39,3
2012-09-05,5,6,22,24,29,35,6
2012-09-12,4,8,15,26,29,35,1
2012-09-19,15,17,31,40,43,44,34
2012-09-26,10,18,20,26,31,33,2
2012-10-03,3,4,25,28,32,37,36
2012-10-10,7,23,24,27,31,43,4
2012-10-17,4,6,20,25,32,38,11
2012-10-24,7,18,19,25,34,44,19
2012-10-31,19,23,27,28,29,38,33
2012-11-07,15,16,26,30,34,44,5
2012-11-14,21,24,26,29,32,40,33
2012-11-21,5,10,14,20,35,39,34
2012-11-28,7,14,20,30,44,45,5
2012-12-05,3,21,27,33,34,39,42
2012-12-12,6,22,33,37,43,45,40
2012-12-19,1,3,11,26,28,35,2
2012-12-26,4,8,19,31,42,44,38
2013-01-02,7,18,22,30,43,45,33
2013-01-09,2,16,18,27,31,45,10
2013-01-16,8,18,26,28,35,42,31
2013-01-23,5,15,20,29,38,42,39
2013-01-30,1,9,18,23,26,45,14
2013-02-06,8,10,11,12,25,36,44
2013-02-13,2,11,12,14,31,44,14
2013-02-20,5,12,17,29,30,45,44
2013-02-27,5,9,36,37,42,43,12
2013-03-06,13,15,24,27,31,45,31
2013-03-13,3,7,15,17,30,38,43
2013-03-20,8,11,22,23,28,42,34
2013-03-27,4,10,21,24,25,44,42
2013-04-03,11,12,17,28,39,44,8
2013-04-10,3,15,19,33,38,39,45
2013-04-17,8,11,14,18,31,36,2
2013-04-24,11,12,13,20,22,38,30
2013-05-01,1,10,35,37,42,45,1
2013-05-08,4,9,12,33,34,39,39
2013-05-15,8,9,13,20,21,25,23
2013-05-22,4,5,7,20,39,43,10
2013-05-29,5,6,28,41,43,45,30
2013-06-05,5,6,8,27,31,43,15
2013-06-12,2,23,27,29,30,35,8
2013-06-19,3,12,33,35,43,44,45
2013-06-26,4,21,30,35,37,40,19
2013-07-03,5,23,26,35,37,45,18
2013-07-10,1,7,9,10,33,41,43
2013-07-17,13,21,29,30,41,43,24
2013-07-24,2,3,13,15,27,33,12
2013-07-31,4,9,10,29,36,40,16
2013-08-07,1,15,31,41,42,43,35
2013-08-14,2,3,10,23,25,38,10
2013-08-21,7,19,21,23,33,36,32
2013-08-28,4,25,27,30,34,40,4
2013-09-04,2,5,7,13,26,41,19
2013-09-11,7,12,14,25,30,33,33
2013-09-18,11,14,18,19,20,41,28
2013-09-25,11,12,30,38,41,43,35
2013-10-02,7,10,12,15,33,37,16
2013-10-09,18,19,24,25,26,44,10
2013-10-16,1,3,12,21,29,34,31
2013-10-23,12,14,15,24,42,45,22
2013-10-30,1,3,19,28,40,42,33
2013-11-06,9,22,37,38,39,41,8
2013-11-13,6,9,18,24,29,30,25
2013-11-20,9,12,16,33,38,42,15
2013-11-27,14,16,25,32,40,42,29
2013-12-04,4,5,8,20,23,42,16
2013-12-11,5,15,27,38,39,40,19
2013-12-18,1,8,17,24,32,34,24
2013-12-25,5,8,15,28,35,44,40
2014-01-01,5,8,10,11,22,41,30
2014-01-08,6,11,20,35,38,42,43
2014-01-15,1,4,9,21,33,44,42
2014-01-22,2,5,7,11,13,38,40
2014-01-29,13,14,18,37,39,41,35
2014-02-05,4,14,17,26,34,43,34
2014-02-12,6,11,22,23,24,34,31
2014-02-19,2,10,17,20,41,42,38
2014-02-26,13,33,37,39,43,45,35
2014-03-05,25,28,34,37,39,41,40
2014-03-12,3,24,28,34,42,43,29
2014-03-19,5,20,23,27,29,36,19
2014-03-26,4,13,36,37,38,43,10
2014-04-02,1,5,18,23,36,45,41
2014-04-09,7,11,30,35,40,45,43
2014-04-16,16,21,25,26,38,40,23
2014-04-23,10,12,19,29,33,38,3
2014-04-30,1,4,29,37,43,44,17
2014-05-07,6,13,19,23,24,39,3
2014-05-14,2,3,12,23,38,39,1
2014-05-21,2,11,14,15,38,43,11
2014-05-28,4,21,24,34,41,45,40
2014-06-04,2,10,13,31,36,38,5
2014-06-11,3,5,7,10,22,36,5
2014-06-18,5,12,21,23,30,32,1
2014-06-25,5,9,24,35,37,38,15
2014-07-02,2,4,7,39,41,44,37
2014-07-09,1,2,5,9,24,28,27
2014-07-16,14,24,29,31,35,41,13
2014-07-23,1,2,16,37,40,43,43
2014-07-30,12,13,17,21,31,42,15
2014-08-06,11,16,17,30,34,41,26
2014-08-13,5,13,23,32,33,42,11
2014-08-20,5,10,11,19,29,35,17
2014-08-27,8,15,19,30,31,43,6
2014-09-03,6,20,25,36,42,43,32
2014-09-10,9,16,21,28,33,38,22
2014-09-17,14,17,21,22,27,37,1
2014-09-24,4,19,23,24,29,30,9
2014-10-01,8,9,17,19,30,36,1
2014-10-08,4,5,21,36,40,41,45
2014-10-15,13,23,34,39,44,45,15
2014-10-22,14,19,21,38,41,45,16
2014-10-29,1,5,24,30,37,41,19
2014-11-05,13,27,29,36,38,44,5
2014-11-12,8,9,20,29,36,41,18
2014-11-19,5,12,14,31,33,45,1
2014-11-26,16,28,31,35,38,39,10
2014-12-03,9,18,20,28,31,33,5
2014-12-10,12,16,34,36,37,40,11
2014-12-17,6,13,16,21,23,31,24
2014-12-24,5,12,20,34,38,43,22
2014-12-31,3,14,17,27,28,34,15
2015-01-07,12,28,32,35,38,43,24
2015-01-14,1,4,10,14,40,43,39
2015-01-21,8,9,19,20,24,38,22
2015-01-28,6,16,20,21,25,43,32
2015-02-04,13,22,29,38,43,44,6
2015-02-11,17,26,28,40,43,44,19
2015-02-18,3,8,9,23,27,33,24
2015-02-25,4,6,14,29,30,32,39
2015-03-04,1,9,18,19,37,38,17
2015-03-11,9,20,23,28,34,39,41
2015-03-18,3,12,21,27,30,33,24
2015-03-25,5,7,20,22,31,38,37
2015-04-01,3,10,12,22,37,38,3
2015-04-08,2,3,9,10,25,28,44
2015-04-15,21,24,29,31,39,40,8
2015-04-22,3,29,34,37,44,45,14
2015-04-29,1,7,9,12,20,28,40
2015-05-06,4,8,22,25,29,43,1
2015-05-13,13,18,21,26,31,41,24
2015-05-20,7,11,12,15,16,37,19
2015-05-27,7,13,16,18,26,42,25
2015-06-03,16,22,35,39,42,45,1
2015-06-10,17,20,25,30,31,44,44
2015-06-17,4,10,13,17,23,34,4
2015-06-24,2,10,11,13,34,37,41
2015-07-01,2,4,9,35,38,45,43
2015-07-08,12,16,24,26,30,37,3
2015-07-15,2,5,38,39,41,43,13
2015-07-22,2,3,18,25,30,36,40
2015-07-29,9,12,16,22,39,42,37
2015-08-05,8,26,29,33,39,42,40
